"Nome_UC","Localidade","Municipio","Estado","Freq"
NA,"José Aparecido","Guarulhos","São Paulo",4
NA,"Divisa de Guarulhos com São Paulo, Lote 4","Guarulhos","São Paulo",4
NA,"Cabuçu, Proguaru","Guarulhos","São Paulo",4
NA,"Serra do Japi","Cajamar","São Paulo",7
NA,"próximo a um curso d´água e adjacente a uma floresta de eucalipto situada dentro da área da empresa Natura","Cajamar","São Paulo",4
NA,"Proximidades de Cajamar","Cajamar","São Paulo",2
NA,"Planta coletada na borda de um pequeno fragmento secundário, próximo a um curso d´água e adjacente a uma floresta de eucalipto situada dentro da área da empresa Natura. Local de topografia ondulada","Cajamar","São Paulo",2
NA,"Jordanésia","Cajamar","São Paulo",2
NA,"Estrada Cajamar-Pirapora","Cajamar","São Paulo",2
NA,"área da empresa Natura","Cajamar","São Paulo",2
NA,"fazenda sao vicente","Campinas","São Paulo",468
NA,"Campinas/Itatiba","Campinas","São Paulo",133
NA,"9ha","Campinas","São Paulo",94
NA,"Campinas","","São Paulo",84
NA,"Floresta Estacional Semidecídua","Campinas","São Paulo",78
NA,"Condomínio Colinas do Atibaia","Campinas","São Paulo",66
NA,"mata da fazenda santa helena","Campinas","São Paulo",55
NA,"sub-distrito de sousas","Campinas","São Paulo",51
NA,"mata da fazenda malabar","Itatiba","São Paulo",47
NA,"4ha","Campinas","São Paulo",46
NA,"Mata","Campinas","São Paulo",44
NA,"área total: 12","Campinas","São Paulo",43
NA,"4 ha","Campinas","São Paulo",39
NA,"Mata Ribeirão Cachoeira (Área C1)","Campinas","São Paulo",38
NA,"mata da fazenda capoeira grande","Campinas","São Paulo",37
NA,"área total: 19","Campinas","São Paulo",36
NA,"sub-distrito de Souzas","","São Paulo",35
NA,"Brasil. Estado de São Paulo, Campinas, sub-distrito de Souzas. Mata Ribeirão Cachoeira","","São Paulo",35
NA,"Mata Ribeirão Cachoeira (Área C2)","Campinas","São Paulo",34
NA,"área total: 41","Campinas","São Paulo",34
NA,"Borda de mata","Campinas","São Paulo",33
NA,"Mata Ribeirão Cachoeira (Área C3)","Campinas","São Paulo",31
NA,"Mata do Macuco (Fragmento G1)","Campinas","São Paulo",30
NA,"Mata da Fazenda Capoeira Grande (Fragmento M1)","Campinas","São Paulo",26
NA,"CESP","Campinas","São Paulo",26
NA,"8ha","Campinas","São Paulo",25
NA,"campos do jordao","Campos do Jordão","São Paulo",527
NA,"São José dos Alpes","Campos do Jordão","São Paulo",360
NA,"pico do itapeva","Campos do Jordão","São Paulo",282
NA,"Umuarama","Campos do Jordão","São Paulo",261
NA,"campos de jordao","Campos do Jordão","São Paulo",171
NA,"Trilha das sete quedas","Campos do Jordão","São Paulo",134
NA,"Serra da Mantiqueira","Campos do Jordão","São Paulo",126
NA,"Serra da Mantiqueira","Pindamonhangaba","São Paulo",116
NA,"Serra da Juréia","Iguape","São Paulo",1746
NA,"Ilha do Cardoso","Cananéia","São Paulo",829
NA,"parque estadual da ilha do cardoso","Cananéia","São Paulo",757
NA,"Fazenda Folha Larga","Cananéia","São Paulo",407
NA,"estacao ecologicachauas","Iguape","São Paulo",388
NA,"E.Ecol.Chauás","Iguape","São Paulo",388
NA,"Chauás","Iguape","São Paulo",388
NA,"mata","Iguape","São Paulo",249
NA,"Trilha do Imperador","Iguape","São Paulo",238
NA,"mata de encosta","Iguape","São Paulo",236
NA,"Iguape","Iguape","São Paulo",211
NA,"Propriedade do Sr","Pariquera-Açu","São Paulo",191
NA,"Barra do Ribeira","Iguape","São Paulo",179
NA,"estrada entre a balsa e a praia da ilha comprida","Cananéia","São Paulo",177
NA,"Propriedade do Sr","Cananéia","São Paulo",144
NA,"Fazenda Pedra Vermelha","Analândia","São Paulo",640
NA,"serra do cuscuzeiro","Analândia","São Paulo",378
NA,"Cerrado","Itirapina","São Paulo",329
NA,"reserva de cerrado da unesp","Corumbataí","São Paulo",314
NA,"Reserva de Cerrado da UNESP. Alt. 793-866m","Corumbataí","São Paulo",252
NA,"Alt","Corumbataí","São Paulo",252
NA,"793-866m","Corumbataí","São Paulo",252
NA,"Itirapina","Itirapina","São Paulo",225
NA,"Pedra Vermelha","Analândia","São Paulo",204
NA,"parque rauvitscher, fazenda pedra vermelha","Analândia","São Paulo",177
NA,"Parque Rauvitscher, Faz. Pedra Vermelha","Analândia","São Paulo",177
NA,"rodovia washington luiz","Itirapina","São Paulo",161
NA,"fazenda mac","Botucatu","São Paulo",92
NA,"fazenda mac e 4 meninas","Botucatu","São Paulo",70
NA,"fazenda experimental edgardia","Botucatu","São Paulo",66
NA,"Condomínio Atiaia","Botucatu","São Paulo",66
NA,"Fazenda Águas de Janeiro","Pardinho","São Paulo",56
NA,"Fazenda Quilombaria","Bofete","São Paulo",53
NA,"da sede até a trilha da esquerda na entrada das cachoeiras","Botucatu","São Paulo",48
NA,"Demétria","Botucatu","São Paulo",44
NA,"à 20km de Botucatu","Botucatu","São Paulo",34
NA,"Bairro Demétria, Condomínio Atiaia, rua principal de terra","Botucatu","São Paulo",30
NA,"Bairro Demétria, Condomínio Atiaia, trilha","Botucatu","São Paulo",29
NA,"fazenda domiciana","Timburi","São Paulo",63
NA,"Gruta das Águas Virtuosas, Taquaras","","São Paulo",28
NA,"vizinha da Estação Ecológica de Santa Bárbara","Águas de Santa Bárbara","São Paulo",21
NA,"Coletada na em campo úmido Fazenda Tabaroa, vizinha da Estação Ecológica de Santa Bárbara","Águas de Santa Bárbara","São Paulo",21
NA,"Lajeado de afloramento basáltico vesicular","Timburi","São Paulo",19
NA,"Coletada na Estação Ecológica de Santa Bárbara","Águas de Santa Bárbara","São Paulo",18
NA,"Gruta das Águas Virtuosas","Tejupá","São Paulo",16
NA,"Fazenda Dominiciana","Timburi","São Paulo",15
NA,"Fazenda Palmital","Timburi","São Paulo",13
NA,"Gruta das Águas Virtuosas, Taquaras","Tejupá","São Paulo",12
NA,"barramento próximo à Rod","Águas de Santa Bárbara","São Paulo",9
NA,"Presidente","Águas de Santa Bárbara","São Paulo",8
NA,"Coletada na Estação Ecológica de Santa Bárbara, em campo úmido, barramento próximo à Rod. Presidente","Águas de Santa Bárbara","São Paulo",8
NA,"Gruta das Águas Virtuosas, Taquaras","São Paulo","São Paulo",5
NA,"Gruta das Águas Virtuosas","São Paulo","São Paulo",5
NA,"17 km de ibitinga em direcao a iacanga","Ibitinga","São Paulo",43
NA,"Mata mesófila semidecídua com abundância de Cariniana","Ibitinga","São Paulo",29
NA,"Cedrela e Hymenaea","Ibitinga","São Paulo",27
NA,"17 Km de Ibitinga em direção a Iacanga (SP","Ibitinga","São Paulo",25
NA,"48º58'00""W","Ibitinga","São Paulo",13
NA,"460 m","Ibitinga","São Paulo",13
