"country","stateProvince","municipality","country.new","stateProvince.new","municipality.new","resol.orig","loc","loc.correct","latitude.gazetteer","longitude.gazetteer","resolution.gazetteer"
"Brazil","Acre","Bujari","brazil","acre","bujari","municipality","brazil_NA_bujari","brazil_acre_bujari",-9.586090579,-68.20649291,"county"
"Brazil","Acre","Capixaba","brazil","acre","capixaba","municipality","brazil_NA_capixaba","brazil_acre_capixaba",-10.47664105,-67.83720572,"county"
"Brazil","Acre","Cruzeiro do Sul","brazil","acre","cruzeiro do sul","municipality","brazil_NA_cruzeiro sul","brazil_acre_cruzeiro sul",-8.065150237,-72.86715993,"county"
"Brazil","Acre","Epitaciolândia","brazil","acre","epitaciolandia","municipality","brazil_NA_epitaciolandia","brazil_acre_epitaciolandia",-10.89937087,-68.41142128,"county"
"Brazil","Acre","Feijó","brazil","acre","feijo","municipality","brazil_NA_feijo","brazil_acre_feijo",-9.072905604,-70.89498145,"county"
"Brazil","Acre","Jordão","brazil","acre","jordao","municipality","brazil_NA_jordao","brazil_acre_jordao",-9.242727783,-71.91831297,"county"
"Brazil","Acre","Mâncio Lima","brazil","acre","mancio lima","municipality","brazil_NA_mancio lima","brazil_acre_mancio lima",-7.505874057,-73.46213842,"county"
"Brazil","Acre","Manoel Urbano","brazil","acre","manoel urbano","municipality","brazil_NA_manoel urbano","brazil_acre_manoel urbano",-9.467183573,-69.91874731,"county"
"Brazil","Acre","Marechal Thaumaturgo","brazil","acre","marechal thaumaturgo","municipality","brazil_NA_marechal thaumaturgo","brazil_acre_marechal thaumaturgo",-9.107902956,-72.5484941,"county"
"Brazil","Acre","Plácido de Castro","brazil","acre","placido de castro","municipality","brazil_NA_placido castro","brazil_acre_placido castro",-10.24724489,-67.31728957,"county"
"Brazil","Acre","Porto Walter","brazil","acre","porto walter","municipality","brazil_NA_porto walter","brazil_acre_porto walter",-8.516460948,-72.71462652,"county"
"Brazil","Acre","Rio Branco","brazil","acre","rio branco","municipality","brazil_NA_rio branco","brazil_acre_rio branco",-10.05302263,-68.31503586,"county"
"Brazil","Acre","Rodrigues Alves","brazil","acre","rodrigues alves","municipality","brazil_NA_rodrigues alves","brazil_acre_rodrigues alves",-7.82281308,-73.24339787,"county"
"Brazil","Acre","Santa Rosa do Purus","brazil","acre","santa rosa do purus","municipality","brazil_NA_santa rosa purus","brazil_acre_santa rosa purus",-9.422991694,-70.4074451,"county"
"Brazil","Acre","Senador Guiomard","brazil","acre","senador guiomard","municipality","brazil_NA_senador guiomard","brazil_acre_senador guiomard",-10.01111904,-67.40747587,"county"
"Brazil","Acre","Sena Madureira","brazil","acre","sena madureira","municipality","brazil_NA_sena madureira","brazil_acre_sena madureira",-9.854576543,-69.43882628,"county"
"Brazil","Acre","Tarauacá","brazil","acre","tarauaca","municipality","brazil_NA_tarauaca","brazil_acre_tarauaca",-8.314280424,-71.54348817,"county"
"Brazil","Acre","Xapuri","brazil","acre","xapuri","municipality","brazil_NA_xapuri","brazil_acre_xapuri",-10.54281834,-68.5729894,"county"
"Brazil","Acre","Porto Acre","brazil","acre","porto acre","municipality","brazil_NA_porto acre","brazil_acre_porto acre",-9.620392259,-67.70052831,"county"
"Brazil","Amazonas","Alvarães","brazil","amazonas","alvaraes","municipality","brazil_NA_alvaraes","brazil_amazonas_alvaraes",-3.701128363,-65.33080397,"county"
"Brazil","Amazonas","Amaturá","brazil","amazonas","amatura","municipality","brazil_NA_amatura","brazil_amazonas_amatura",-3.418368581,-68.28779424,"county"
"Brazil","Amazonas","Anamã","brazil","amazonas","anama","municipality","brazil_NA_anama","brazil_amazonas_anama",-3.502606263,-61.71674185,"county"
"Brazil","Amazonas","Anori","brazil","amazonas","anori","municipality","brazil_NA_anori","brazil_amazonas_anori",-4.186667406,-62.07309407,"county"
"Brazil","Amazonas","Apuí","brazil","amazonas","apui","municipality","brazil_NA_apui","brazil_amazonas_apui",-7.75972024,-59.43139823,"county"
"Brazil","Amazonas","Atalaia do Norte","brazil","amazonas","atalaia do norte","municipality","brazil_NA_atalaia norte","brazil_amazonas_atalaia norte",-5.710436838,-71.74248909,"county"
"Brazil","Amazonas","Autazes","brazil","amazonas","autazes","municipality","brazil_NA_autazes","brazil_amazonas_autazes",-3.788981689,-59.52880292,"county"
"Brazil","Amazonas","Barcelos","brazil","amazonas","barcelos","municipality","brazil_NA_barcelos","brazil_amazonas_barcelos",-0.465216609,-63.43469746,"county"
"Brazil","Amazonas","Barreirinha","brazil","amazonas","barreirinha","municipality","brazil_NA_barreirinha","brazil_amazonas_barreirinha",-3.129109554,-57.17243568,"county"
"Brazil","Amazonas","Benjamin Constant","brazil","amazonas","benjamin constant","municipality","brazil_NA_benjamin constant","brazil_amazonas_benjamin constant",-5.431016683,-70.27981915,"county"
