"country","stateProvince","municipality","locality","latitude","longitude","country.new","stateProvince.new","municipality.new","locality.new","locality.scrap","resol.orig","loc","loc.correct","latitude.gazetteer","longitude.gazetteer","resolution.gazetteer"
"Brazil","São Paulo","Bragança Paulista","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL PARQUE DOS PÁSSAROS","-22.9840275797684","-46.6605310809186","brazil","sao paulo","braganca paulista","reserva particular do patrimonio natural parque dos passaros",NA,"locality","brazil_sao paulo_braganca paulista","brazil_sao paulo_braganca paulista",-22.93823956,-46.55574894,"county"
"Brazil","São Paulo","Bragança Paulista","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA SERRINHA","-22.9909986439953","-46.4380092780377","brazil","sao paulo","braganca paulista","reserva particular do patrimonio natural fazenda serrinha",NA,"locality","brazil_sao paulo_braganca paulista","brazil_sao paulo_braganca paulista",-22.93823956,-46.55574894,"county"
"Brazil","São Paulo","Holambra","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ESTÂNCIA JATOBÁ","-22.6585343109774","-47.0356156453297","brazil","sao paulo","holambra","reserva particular do patrimonio natural estancia jatoba",NA,"locality","brazil_sao paulo_holambra","brazil_sao paulo_holambra",-22.62900557,-47.0646795,"county"
"Brazil","São Paulo","Jaguariúna","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ESTÂNCIA JATOBÁ","-22.6607066021523","-47.0361371884655","brazil","sao paulo","jaguariuna","reserva particular do patrimonio natural estancia jatoba",NA,"locality","brazil_sao paulo_jaguariuna","brazil_sao paulo_jaguariuna",-22.69192697,-47.01296363,"county"
"Brazil","São Paulo","Araçariguama","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SÍTIO PITHON","-23.4336805336285","-47.0754167703232","brazil","sao paulo","aracariguama","reserva particular do patrimonio natural sitio pithon",NA,"locality","brazil_sao paulo_aracariguama","brazil_sao paulo_aracariguama",-23.43450777,-47.0722913,"county"
"Brazil","São Paulo","Jaú","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA ECOLÓGICA AMADEU BOTELHO","-22.3082866438619","-48.5354438410925","brazil","sao paulo","jau","reserva particular do patrimonio natural reserva ecologica amadeu botelho",NA,"locality","brazil_sao paulo_jau","brazil_sao paulo_jau",-22.29530287,-48.555745,"county"
"Brazil","São Paulo","Pirapora do Bom Jesus","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL VOTURUNA V","-23.4322113773614","-47.0248176792399","brazil","sao paulo","pirapora do bom jesus","reserva particular do patrimonio natural voturuna v",NA,"locality","brazil_sao paulo_pirapora bom jesus","brazil_sao paulo_pirapora bom jesus",-23.37795034,-46.98465022,"county"
"Brazil","São Paulo","Santana de Parnaíba","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL VOTURUNA V","-23.435336514057","-47.023632639873","brazil","sao paulo","santana de parnaiba","reserva particular do patrimonio natural voturuna v",NA,"locality","brazil_sao paulo_santana parnaiba","brazil_sao paulo_santana parnaiba",-23.4490073,-46.91563884,"county"
"Brazil","São Paulo","Igaratá","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA SAN MICHELE","-23.086745775104","-46.1057308073513","brazil","sao paulo","igarata","reserva particular do patrimonio natural fazenda san michele",NA,"locality","brazil_sao paulo_igarata","brazil_sao paulo_igarata",-23.13469968,-46.15039133,"county"
"Brazil","São Paulo","São José dos Campos","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA SAN MICHELE","-23.086886699035","-46.1027878074296","brazil","sao paulo","sao jose dos campos","reserva particular do patrimonio natural fazenda san michele",NA,"locality","brazil_sao paulo_sao jose campos","brazil_sao paulo_sao jose campos",-23.09044028,-45.9285931,"county"
"Brazil","São Paulo","São Paulo","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SÍTIO CURUCUTU","-23.8905541132297","-46.6211512475014","brazil","sao paulo","sao paulo","reserva particular do patrimonio natural sitio curucutu",NA,"locality","brazil_sao paulo_sao paulo","brazil_sao paulo_sao paulo",-23.65041685,-46.64802516,"county"
"Brazil","São Paulo","São Sebastião","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL TOQUE TOQUE PEQUENO","-23.8133410818311","-45.5291684019606","brazil","sao paulo","sao sebastiao","reserva particular do patrimonio natural toque toque pequeno",NA,"locality","brazil_sao paulo_sao sebastiao","brazil_sao paulo_sao sebastiao",-23.75242089,-45.60629823,"county"
"Brazil","São Paulo","Garça","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL TRILHA COROADOS - FB","-22.1550691405002","-49.5288502953622","brazil","sao paulo","garca","reserva particular do patrimonio natural trilha coroados",NA,"locality","brazil_sao paulo_garca","brazil_sao paulo_garca",-22.23047463,-49.68970306,"county"
"Brazil","São Paulo","Presidente Alves","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL TRILHA COROADOS - FB","-22.1535371496437","-49.52714080636","brazil","sao paulo","presidente alves","reserva particular do patrimonio natural trilha coroados",NA,"locality","brazil_sao paulo_presidente alves","brazil_sao paulo_presidente alves",-22.12131421,-49.4319646,"county"
"Brazil","São Paulo","Mairiporã","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SÍTIO CAPUAVINHA","-23.3179307296647","-46.5697378712629","brazil","sao paulo","mairipora","reserva particular do patrimonio natural sitio capuavinha",NA,"locality","brazil_sao paulo_mairipora","brazil_sao paulo_mairipora",-23.3173791,-46.56126261,"county"
"Brazil","São Paulo","Araçoiaba da Serra","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CENTRO DE VIVÊNCIA COM A NATUREZA - CVN","-23.5332210199751","-47.6504618421653","brazil","sao paulo","aracoiaba da serra","reserva particular do patrimonio natural centro de vivencia com a natureza",NA,"locality","brazil_sao paulo_aracoiaba serra","brazil_sao paulo_aracoiaba serra",-23.54362967,-47.65124588,"county"
"Brazil","São Paulo","Ibiúna","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CRUZ PRETA","-23.8460897238523","-47.2446585169237","brazil","sao paulo","ibiuna","reserva particular do patrimonio natural cruz preta",NA,"locality","brazil_sao paulo_ibiuna","brazil_sao paulo_ibiuna",-23.80233648,-47.21529629,"county"
"Brazil","São Paulo","Araçoiaba da Serra","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FLORESTA NEGRA, PARQUE NATURAL PARA ESTUDOS, PESQUISA E EDUCAÇÃO AMBIENTAL","-23.5417890876462","-47.674399912011","brazil","sao paulo","aracoiaba da serra","reserva particular do patrimonio natural floresta negra, parque natural para estudos","reserva particular do patrimonio natural floresta negra","locality","brazil_sao paulo_aracoiaba serra","brazil_sao paulo_aracoiaba serra",-23.54362967,-47.65124588,"county"
"Brazil","São Paulo","São Luiz do Paraitinga","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ÁGUAS CLARAS","-23.3123550869176","-45.2280534637182","brazil","sao paulo","sao luiz do paraitinga","reserva particular do patrimonio natural aguas claras",NA,"locality","brazil_sao paulo_sao luiz paraitinga","brazil_sao paulo_sao luis paraitinga",-23.23994148,-45.25375581,"county"
"Brazil","São Paulo","Santa Rita do Passa Quatro","ÁREA DE RELEVANTE INTERESSE ECOLÓGICO CERRADO PÉ-DE-GIGANTE","-21.6305469091571","-47.630096755267","brazil","sao paulo","santa rita do passa quatro","area de relevante interesse ecologico cerrado pe-de-gigante",NA,"locality","brazil_sao paulo_santa rita passa quatro","brazil_sao paulo_santa rita passa quatro",-21.68195672,-47.50780122,"county"
"Brazil","São Paulo","Santa Rita do Passa Quatro","ÁREA DE RELEVANTE INTERESSE ECOLÓGICO BURITI DE VASSUNUNGA","-21.7034264370193","-47.4164389798357","brazil","sao paulo","santa rita do passa quatro","area de relevante interesse ecologico buriti de vassununga",NA,"locality","brazil_sao paulo_santa rita passa quatro","brazil_sao paulo_santa rita passa quatro",-21.68195672,-47.50780122,"county"
"Brazil","São Paulo","Itanhaém","ÁREA DE RELEVANTE INTERESSE ECOLÓGICO ILHAS QUEIMADA GRANDE E QUEIMADA PEQUENA","-24.4760405008355","-46.6867048364642","brazil","sao paulo","itanhaem","area de relevante interesse ecologico ilhas queimada grande e queimada pequena",NA,"locality","brazil_sao paulo_itanhaem","brazil_sao paulo_itanhaem",-24.09121087,-46.8346865,"county"
"Brazil","São Paulo","Nova Campina","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FERLAG RESINAS BRASIL","-24.2013893063339","-48.9994207635877","brazil","sao paulo","nova campina","reserva particular do patrimonio natural ferlag resinas brasil",NA,"locality","brazil_sao paulo_nova campina","brazil_sao paulo_nova campina",-24.19059245,-48.97277083,"county"
"Brazil","São Paulo","Águas da Prata","PARQUE ESTADUAL ÁGUAS DA PRATA","-21.9306459428606","-46.7139418087729","brazil","sao paulo","aguas da prata","parque estadual aguas da prata",NA,"locality","brazil_sao paulo_aguas prata","brazil_sao paulo_aguas prata",-21.91331897,-46.69182372,"county"
"Brazil","São Paulo","Luís Antônio","ESTAÇÃO ECOLÓGICA JATAÍ","-21.6000160632252","-47.7762942109334","brazil","sao paulo","luis antonio","estacao ecologica jatai",NA,"locality","brazil_sao paulo_luis antonio","brazil_sao paulo_luis antonio",-21.55237545,-47.78198383,"county"
"Brazil","São Paulo","Itaberá","ESTAÇÃO ECOLÓGICA ITABERÁ","-23.8446011510518","-49.1413435976003","brazil","sao paulo","itabera","estacao ecologica itabera",NA,"locality","brazil_sao paulo_itabera_estacao ecologica itabera","brazil_sao paulo_itabera_estacao ecologica itabera",-23.850302,-49.142377,"locality"
"Brazil","São Paulo","Guaimbê","ESTAÇÃO ECOLÓGICA DE MARÍLIA","-21.9530376628426","-49.9433820054617","brazil","sao paulo","guaimbe","estacao ecologica de marilia",NA,"locality","brazil_sao paulo_guaimbe","brazil_sao paulo_guaimbe",-21.87849511,-49.86057527,"county"
"Brazil","São Paulo","Marília","ESTAÇÃO ECOLÓGICA DE MARÍLIA","-21.9938567734763","-49.925102035683","brazil","sao paulo","marilia","estacao ecologica de marilia",NA,"locality","brazil_sao paulo_marilia","brazil_sao paulo_marilia",-22.17813432,-49.98279628,"county"
"Brazil","São Paulo","Valinhos","ESTAÇÃO ECOLÓGICA VALINHOS","-22.9626288310985","-47.0155054011578","brazil","sao paulo","valinhos","estacao ecologica valinhos",NA,"locality","brazil_sao paulo_valinhos","brazil_sao paulo_valinhos",-22.975078,-46.98110903,"county"
"Brazil","São Paulo","Paulo de Faria","ESTAÇÃO ECOLÓGICA DE PAULO DE FARIA","-19.9464793213239","-49.5262075726855","brazil","sao paulo","paulo de faria","estacao ecologica de paulo de faria",NA,"locality","brazil_sao paulo_paulo faria_estacao ecologica paulo faria","brazil_sao paulo_paulo faria_eec paulo faria",-19.9573,-49.535873,"locality"
"Brazil","São Paulo","Alvinlândia","ESTAÇÃO ECOLÓGICA DOS CAETETUS","-22.4079561415617","-49.7159685404861","brazil","sao paulo","alvinlandia","estacao ecologica dos caetetus",NA,"locality","brazil_sao paulo_alvinlandia","brazil_sao paulo_alvinlandia",-22.45203969,-49.75857645,"county"
"Brazil","São Paulo","Gália","ESTAÇÃO ECOLÓGICA DOS CAETETUS","-22.4023155306692","-49.692975238224","brazil","sao paulo","galia","estacao ecologica dos caetetus",NA,"locality","brazil_sao paulo_galia_estacao ecologica caetetus","brazil_sao paulo_galia_eec caetetus",-22.413951,-49.685434,"locality"
"Brazil","São Paulo","Mogi das Cruzes","ESTAÇÃO ECOLÓGICA DE ITAPETI","-23.5109887984279","-46.2435674605084","brazil","sao paulo","mogi das cruzes","estacao ecologica de itapeti",NA,"locality","brazil_sao paulo_mogi cruzes","brazil_sao paulo_mogi cruzes",-23.56921402,-46.18619521,"county"
"Brazil","São Paulo","Valinhos","PARQUE ESTADUAL DA ARA","-23.0156405705042","-47.0661651874673","brazil","sao paulo","valinhos","parque estadual da ara",NA,"locality","brazil_sao paulo_valinhos","brazil_sao paulo_valinhos",-22.975078,-46.98110903,"county"
