"loc","loc.correct","Freq","stateProvince","municipality","locality"
"brazil_sao paulo_campinas_parque ecologico","",3,"sao paulo","campinas","parque ecologico"
"brazil_sao paulo_campinas_real parque","",3,"sao paulo","campinas","real parque"
"brazil_sao paulo_campinas_reserva sta","",3,"sao paulo","campinas","reserva de sta"
"brazil_sao paulo_campinas_sitio sao francisco","",3,"sao paulo","campinas","sitio sao francisco"
"brazil_sao paulo_campinas_sousa","",3,"sao paulo","campinas","sousa"
"brazil_sao paulo_campinas_subdistrito sousas","",3,"sao paulo","campinas","subdistrito de sousas"
"brazil_sao paulo_campinas_terreno baldio proximo ao centro medico","",3,"sao paulo","campinas","terreno baldio proximo ao centro medico"
"brazil_sao paulo_campinas_trecho entre as cidades souzas e pedreira","",3,"sao paulo","campinas","trecho entre as cidades de souzas e pedreira"
"brazil_sao paulo_campo congonhas","",3,"sao paulo","campo congonhas",""
"brazil_sao paulo_campos jordao_1 1","",3,"sao paulo","campos do jordao","1 1"
"brazil_sao paulo_campos jordao_16 km ssw estacao emilio ribas","",3,"sao paulo","campos do jordao","16 km ssw da estacao de emilio ribas"
"brazil_sao paulo_campos jordao_arborizacao avenida","",3,"sao paulo","campos do jordao","arborizacao de avenida"
"brazil_sao paulo_campos jordao_area proxima ao sanatorio sao francisco xavier","",3,"sao paulo","campos do jordao","area proxima ao sanatorio sao francisco xavier"
"brazil_sao paulo_campos jordao_area sanatorio sao francisco xavier","",3,"sao paulo","campos do jordao","area do sanatorio sao francisco xavier"
"brazil_sao paulo_campos jordao_arredores pico itapeva","",3,"sao paulo","campos do jordao","arredores do pico itapeva"
"brazil_sao paulo_campos jordao_beira cachoeira em mata ciliar","",3,"sao paulo","campos do jordao","beira de cachoeira em mata ciliar"
"brazil_sao paulo_campos jordao_beira estrada sp 50","",3,"sao paulo","campos do jordao","beira da estrada sp 50"
"brazil_sao paulo_campos jordao_caminho acesso ao pico diamante","",3,"sao paulo","campos do jordao","caminho de acesso ao pico do diamante|caminho de acesso ao pico diamante"
"brazil_sao paulo_campos jordao_campo rupestre","",3,"sao paulo","campos do jordao","campo rupestre"
"brazil_sao paulo_campos jordao_campos jorda","",3,"sao paulo","campos do jordao","campos do jorda"
"brazil_sao paulo_campos jordao_campos jordao santa cruz","",3,"sao paulo","campos do jordao","campos do jordao- santa cruz"
"brazil_sao paulo_campos jordao_campos jordao umuarama","",3,"sao paulo","campos do jordao","campos do jordao umuarama|campos do jordao-umuarama"
"brazil_sao paulo_campos jordao_cerca 100 km nossa sao jose campos","",3,"sao paulo","campos do jordao","cerca 100 km nossa sao jose dos campos"
"brazil_sao paulo_campos jordao_circa 2 km e of pico itapeva","",3,"sao paulo","campos do jordao","circa 2 km e of pico itapeva|circa 2 km e of pico do itapeva|circa 2 km e of pico de itapeva"
"brazil_sao paulo_campos jordao_circa 8 km s of campos jordao","",3,"sao paulo","campos do jordao","circa 8 km s of campos do jordao"
"brazil_sao paulo_campos jordao_coletado e cultivado no horto campos jordao","",3,"sao paulo","campos do jordao","coletado e cultivado no horto de campos do jordao"
"brazil_sao paulo_campos jordao_colonia unumarama","",3,"sao paulo","campos do jordao","colonia unumarama"
"brazil_sao paulo_campos jordao_cult","",3,"sao paulo","campos do jordao","cult"
"brazil_sao paulo_campos jordao_entre abernessia e umuarama","",3,"sao paulo","campos do jordao","entre abernessia e umuarama"
"brazil_sao paulo_campos jordao_entre juqueira e campos jordao","",3,"sao paulo","campos do jordao","entre juqueira e campos do jordao"
"brazil_sao paulo_campos jordao_estacao sao cristovao","",3,"sao paulo","campos do jordao","estacao sao cristovao"
"brazil_sao paulo_campos jordao_estadualhorto florestal","",3,"sao paulo","campos do jordao","estadualhorto florestal"
"brazil_sao paulo_campos jordao_estrada abernesia","",3,"sao paulo","campos do jordao","estrada abernesia"
"brazil_sao paulo_campos jordao_estrada campos jordao sao bento sapucai","",3,"sao paulo","campos do jordao","estrada campos do jordao -sao bento do sapucai|estrada campos do jordao- sao bento do sapucai"
"brazil_sao paulo_campos jordao_estrada entre campos jordao e monteiro lobato","",3,"sao paulo","campos do jordao","estrada entre campos de jordao e monteiro lobato"
"brazil_sao paulo_campos jordao_estrada moreira para sao jose alpes","",3,"sao paulo","campos do jordao","estrada do moreira para sao jose dos alpes"
"brazil_sao paulo_campos jordao_estrada moreira para sao jose alpes, reserva instituto florestal","",3,"sao paulo","campos do jordao","estrada do moreira para sao jose dos alpes, reserva do instituto florestal"
"brazil_sao paulo_campos jordao_estrada municipal paulo c","",3,"sao paulo","campos do jordao","estrada municipal paulo c"
"brazil_sao paulo_campos jordao_estrada p","",3,"sao paulo","campos do jordao","estrada p"
"brazil_sao paulo_campos jordao_estrada para o palacio governo","",3,"sao paulo","campos do jordao","estrada para o palacio do governo"
"brazil_sao paulo_campos jordao_estrada para s","",3,"sao paulo","campos do jordao","estrada para s"
"brazil_sao paulo_campos jordao_estrada pirangucu","",3,"sao paulo","campos do jordao","estrada pirangucu"
"brazil_sao paulo_campos jordao_estrada velha","",3,"sao paulo","campos do jordao","estrada velha"
"brazil_sao paulo_campos jordao_fazenda retiro","",3,"sao paulo","campos do jordao","fazenda do retiro"
"brazil_sao paulo_campos jordao_folha","",3,"sao paulo","campos do jordao","folha"
"brazil_sao paulo_campos jordao_folha cartografica sf 23 y b coordenada coletada","",3,"sao paulo","campos do jordao","folha cartografica sf-23-y-b coordenada coletada"
"brazil_sao paulo_campos jordao_gruta criolos","",3,"sao paulo","campos do jordao","gruta dos criolos"
"brazil_sao paulo_campos jordao_gruta crioulos","",3,"sao paulo","campos do jordao","gruta dos crioulos"
"brazil_sao paulo_campos jordao_imediacoes hotel toriba","",3,"sao paulo","campos do jordao","imediacoes do hotel toriba"
"brazil_sao paulo_campos jordao_in pascuis","",3,"sao paulo","campos do jordao","in pascuis"
"brazil_sao paulo_campos jordao_jardim monges beneditinos","",3,"sao paulo","campos do jordao","jardim dos monges beneditinos"
"brazil_sao paulo_campos jordao_mais ou menos 100 km ao norte sao jose campos","",3,"sao paulo","campos do jordao","mais ou menos 100 km ao norte de sao jose dos campos"
"brazil_sao paulo_campos jordao_mais ou menos 100km ao norte sao jose campos","",3,"sao paulo","campos do jordao","mais ou menos 100km ao norte de sao jose dos campos"
"brazil_sao paulo_campos jordao_moro elefante","",3,"sao paulo","campos do jordao","moro do elefante"
"brazil_sao paulo_campos jordao_morro elefante, mata","",3,"sao paulo","campos do jordao","morro do elefante, mata"
"brazil_sao paulo_campos jordao_no parque estadual em sao jose alpes","",3,"sao paulo","campos do jordao","no parque estadual em sao jose dos alpes"
"brazil_sao paulo_campos jordao_parque estadual campos jordao folha cartografica sf","",3,"sao paulo","campos do jordao","parque estadual campos do jordao folha cartografica sf|parque estadual de campos do jordao folha cartografica sf"
"brazil_sao paulo_campos jordao_parque estadual camps jordao","",3,"sao paulo","campos do jordao","parque estadual de camps do jordao"
"brazil_sao paulo_campos jordao_parque estadual estrada para a cachoeira corrego galharada","",3,"sao paulo","campos do jordao","parque estadual estrada para a cachoeira do corrego galharada"
"brazil_sao paulo_campos jordao_parque estadual pinheiro chato","",3,"sao paulo","campos do jordao","parque estadual-pinheiro chato"
"brazil_sao paulo_campos jordao_parque estudual campos jordao","",3,"sao paulo","campos de jordao","parque estudual de campos de jordao"
"brazil_sao paulo_campos jordao_paruqe ferradura","",3,"sao paulo","campos do jordao","paruqe da ferradura"
"brazil_sao paulo_campos jordao_pico itatiaia","",3,"sao paulo","campos do jordao","pico do itatiaia"
"brazil_sao paulo_campos jordao_proximo ao camping ccb","",3,"sao paulo","campos do jordao","proximo ao camping da ccb"
"brazil_sao paulo_campos jordao_proximo ao morro elefante","",3,"sao paulo","campos do jordao","proximo ao morro do elefante"
"brazil_sao paulo_campos jordao_regiao pinheiro seco","",3,"sao paulo","campos do jordao","regiao do pinheiro seco|regiao do pinheiro-seco"
"brazil_sao paulo_campos jordao_reserva instituo florestal","",3,"sao paulo","campos do jordao|campos de jordao","reserva do instituo florestal"
"brazil_sao paulo_campos jordao_reserva instituto florestal campos jordao, beira estrada","",3,"sao paulo","campos do jordao","reserva do instituto florestal de campos do jordao, beira de estrada|reserva do instituto florestal do campos de jordao, beira de estrada"
"brazil_sao paulo_campos jordao_reserva instituto florestal sao jose alpes","",3,"sao paulo","campos do jordao","reserva do instituto florestal sao jose dos alpes"
"brazil_sao paulo_campos jordao_reserva instituto florestal, estrada moreira para sao jose alpe","",3,"sao paulo","campos do jordao","reserva do instituto florestal, estrada do moreira para sao jose dos alpe"
"brazil_sao paulo_campos jordao_reserva intituto florestal","",3,"sao paulo","campos do jordao","reserva do intituto florestal"
"brazil_sao paulo_campos jordao_rumo ao pico itapeva","",3,"sao paulo","campos do jordao","rumo ao pico do itapeva"
"brazil_sao paulo_campos jordao_santo cruz","",3,"sao paulo","campos do jordao","santo cruz"
"brazil_sao paulo_campos jordao_sem informacao","",3,"sao paulo","campos do jordao","sem informacao"
"brazil_sao paulo_campos jordao_serra campos joradao","",3,"sao paulo","campos do jordao","serra de campos do joradao"
"brazil_sao paulo_campos jordao_serra mantiqueira, off estrada fojo","",3,"sao paulo","campos do jordao","serra da mantiqueira, off estrada do fojo"
"brazil_sao paulo_campos jordao_usina fojo pousada cpfl","",3,"sao paulo","campos do jordao","usina do fojo- pousada da cpfl|usina do fojo-pousada da cpfl"
"brazil_sao paulo_campos jordao_vila matilde areas sanatorio sao francisco xavier","",3,"sao paulo","campos do jordao","vila matilde areas do sanatorio sao francisco xavier"
"brazil_sao paulo_campos jordao_without locality","",3,"sao paulo","campos do jordao","without locality"
"brazil_sao paulo_canaheia","",3,"sao paulo","canaheia","canaheia"
"brazil_sao paulo_canaheia_canaheia","",3,"sao paulo","canaheia","canaheia"
"brazil_sao paulo_cananea_fazenda aroeira","",3,"sao paulo","cananea","fazenda aroeira"
"brazil_sao paulo_cananeia_4km estrada terra","",3,"sao paulo","cananeia","4km estrada de terra"
"brazil_sao paulo_cananeia_5 rodovia sp","",3,"sao paulo","cananeia","5 da rodovia sp"
"brazil_sao paulo_cananeia_5 rodovia sp 226, fazenda folha larga","",3,"sao paulo","cananeia","5 da rodovia sp-226, fazenda folha larga"
"brazil_sao paulo_cananeia_5 rodovia sp 232","",3,"sao paulo","cananeia","5 da rodovia sp- 232"
"brazil_sao paulo_cananeia_5 rodovia sp 235","",3,"sao paulo","cananeia","5 da rodovia sp-235|5 da rodovia sp- 235"
"brazil_sao paulo_cananeia_500m antes ponte gal","",3,"sao paulo","cananeia","500m antes da ponte gal"
"brazil_sao paulo_cananeia_a 18km pariquera acu","",3,"sao paulo","cananeia","a 18km de pariquera-acu"
"brazil_sao paulo_cananeia_aroeira","",3,"sao paulo","cananeia","aroeira"
"brazil_sao paulo_cananeia_base of mountain back of oceanographic station","",3,"sao paulo","cananeia","base of mountain back of oceanographic station"
"brazil_sao paulo_cananeia_beira estrada captacao","",3,"sao paulo","cananeia","beira da estrada da captacao"
"brazil_sao paulo_cananeia_by oceonographic station","",3,"sao paulo","cananeia","by oceonographic station"
"brazil_sao paulo_cananeia_caminho para siricultura jack","",3,"sao paulo","cananeia","caminho para siricultura jack"
"brazil_sao paulo_cananeia_circa 2km cidade em direcao a ponte","",3,"sao paulo","cananeia","circa 2km da cidade em direcao a ponte"
"brazil_sao paulo_cananeia_estadual jacupiranga","",3,"sao paulo","cananeia","estadual de jacupiranga"
"brazil_sao paulo_cananeia_estrada cananeia, beira estrada","",3,"sao paulo","cananeia","estrada cananeia, beira da estrada"
"brazil_sao paulo_cananeia_estrada entre a balsa e a","",3,"sao paulo","cananeia","estrada entre a balsa e a"
"brazil_sao paulo_cananeia_estrada entre a balsa e a praia ilha","",3,"sao paulo","cananeia","estrada entre a balsa e a praia da ilha"
"brazil_sao paulo_cananeia_estrada entre a balsa e a praia ilha compridam area mata restinga com transicao para dunas","",3,"sao paulo","cananeia","estrada entre a balsa e a praia da ilha compridam area de mata de restinga com transicao para dunas"
"brazil_sao paulo_cananeia_estrada entre a balsa e praia ilha comprida","",3,"sao paulo","cananeia","estrada entre a balsa e praia da ilha comprida"
"brazil_sao paulo_cananeia_estrada entre a valsa e a praia ilha comprida","",3,"sao paulo","cananeia","estrada entre a valsa e a praia da ilha comprida"
"brazil_sao paulo_cananeia_estrada itapitangui ariri","",3,"sao paulo","cananeia","estrada itapitangui ariri"
"brazil_sao paulo_cananeia_estrada para sao paulo","",3,"sao paulo","cananeia","estrada para sao paulo"
"brazil_sao paulo_cananeia_estrada pariqueira acu, 4 km estrada terra","",3,"sao paulo","cananeia","estrada pariqueira-acu, 4 km estrada de terra"
"brazil_sao paulo_cananeia_estrada pariquera acu para cananeia, a 19 km parquera acu","",3,"sao paulo","cananeia","estrada pariquera-acu para cananeia, a 19 km de parquera-acu"
"brazil_sao paulo_cananeia_estrada pariquera acu, $km estrada terra","",3,"sao paulo","cananeia","estrada pariquera acu, $km de estrada de terra"
"brazil_sao paulo_cananeia_estrada pariquera acu, 4 m estrada terra","",3,"sao paulo","cananeia","estrada pariquera-acu, 4 m de estrada de terra"
"brazil_sao paulo_cananeia_estrada transcardoso","",3,"sao paulo","cananeia","estrada transcardoso"
"brazil_sao paulo_cananeia_estrada trapiche","",3,"sao paulo","cananeia","estrada do trapiche"
"brazil_sao paulo_cananeia_ex colonia","",3,"sao paulo","cananeia","ex-colonia"
"brazil_sao paulo_cananeia_fazenda larga","",3,"sao paulo","cananeia","fazenda larga"
"brazil_sao paulo_cananeia_iiha cardoso","",3,"sao paulo","cananeia","iiha do cardoso"
"brazil_sao paulo_cananeia_ilha cardoso proximo base ceparnic","",3,"sao paulo","cananeia","ilha do cardoso proximo da base do ceparnic"
"brazil_sao paulo_cananeia_ilha casca proximo ao ancouradoro","",3,"sao paulo","cananeia","ilha da casca proximo ao ancouradoro"
"brazil_sao paulo_cananeia_ilha comprida estrada entre balsa e a praia ilha comprida","",3,"sao paulo","cananeia","ilha comprida estrada entre balsa e a praia da ilha comprida"
"brazil_sao paulo_cananeia_km 31 rodovia sp 226, estrada serra para p mar dentro","",3,"sao paulo","cananeia","km 31 da rodovia sp-226, estrada da serra para p mar de dentro"
"brazil_sao paulo_cananeia_km 31 rodoviasp 226, fazenda folha larga","",3,"sao paulo","cananeia","km 31 da rodoviasp-226, fazenda folha larga"
"brazil_sao paulo_cananeia_km 31da rodovia sp 226, fazenda folha larga","",3,"sao paulo","cananeia","km 31da rodovia sp-226, fazenda folha larga"
"brazil_sao paulo_cananeia_km31 rodovia sp 226, estrada terra para o mar dentro","",3,"sao paulo","cananeia","km31 da rodovia sp-226, estrada de terra para o mar de dentro"
"brazil_sao paulo_cananeia_lha cardoso","",3,"sao paulo","cananeia","lha do cardoso"
"brazil_sao paulo_cananeia_ma estrada para a captacao agua doce","",3,"sao paulo","cananeia","ma estrada para a captacao de agua doce"
"brazil_sao paulo_cananeia_mata encostado morro captacao agua, parque estadual ilha cardoso","",3,"sao paulo","cananeia","mata de encostado morro de captacao d’agua, parque estadual da ilha do cardoso|mata de encostado morro de captacao d’agua, parque estadual ilha do cardoso"
"brazil_sao paulo_cananeia_morro atras sabesp","",3,"sao paulo","cananeia","morro atras da sabesp"
"brazil_sao paulo_cananeia_morro tassuva","",3,"sao paulo","cananeia","morro do tassuva"
"brazil_sao paulo_cananeia_na costa leste ilha comprida","",3,"sao paulo","cananeia","na costa leste da ilha comprida"
"brazil_sao paulo_cananeia_na estrada para captacao agua doce","",3,"sao paulo","cananeia","na estrada para captacao de agua doce"
"brazil_sao paulo_cananeia_nas ruinas na reserva biologica","",3,"sao paulo","cananeia","nas ruinas na reserva biologica"
"brazil_sao paulo_cananeia_p itacuruca","",3,"sao paulo","cananeia","p itacuruca"
"brazil_sao paulo_cananeia_palmeiras","",3,"sao paulo","cananeia","palmeiras"
"brazil_sao paulo_cananeia_parque estadual dejacupiranga","",3,"sao paulo","cananeia","parque estadual dejacupiranga"
"brazil_sao paulo_cananeia_parque estadual jacpiranga","",3,"sao paulo","cananeia","parque estadual da jacpiranga"
"brazil_sao paulo_cananeia_parque estadual lha cardoso","",3,"sao paulo","cananeia","parque estadual da lha do cardoso"
"brazil_sao paulo_cananeia_parque nacional ilha cardoso","",3,"sao paulo","cananeia","parque nacional ilha do cardoso|parque nacional da ilha do cardoso"
"brazil_sao paulo_cananeia_parque rstadual jacupiranga","",3,"sao paulo","cananeia","parque rstadual de jacupiranga"
"brazil_sao paulo_cananeia_ponta maruja","",3,"sao paulo","cananeia","ponta de maruja|ponta do maruja"
"brazil_sao paulo_cananeia_propriedade senhor felitto","",3,"sao paulo","cananeia","propriedade do senhor felitto"
"brazil_sao paulo_cananeia_propriedade senhor flavio cananeia sp brasil","",3,"sao paulo","cananeia","propriedade do senhor flavio-cananeia-sp-brasil"
"brazil_sao paulo_cananeia_propriedade senhor flavio folha cartografica sg 23 v a coordenada coletada","",3,"sao paulo","cananeia","propriedade do senhor flavio folha cartografica sg-23-v-a coordenada coletada"
"brazil_sao paulo_cananeia_proprietario senhor flavio","",3,"sao paulo","cananeia","proprietario do senhor flavio"
"brazil_sao paulo_cananeia_reserva biologica, estrada captacao","",3,"sao paulo","cananeia","reserva biologica, estrada da captacao"
"brazil_sao paulo_cananeia_reserva parque estadual ilha cardoso, estrada para o morro captacao","",3,"sao paulo","cananeia","reserva do parque estadual da ilha do cardoso, estrada para o morro da captacao"
"brazil_sao paulo_cananeia_s promontory nr maruja","",3,"sao paulo","cananeia","s promontory nr maruja"
"brazil_sao paulo_cananeia_serra tambor, outro lado estrada em frente a fazenda folha larga","",3,"sao paulo","cananeia","serra do tambor, do outro lado da estrada em frente a fazenda folha larga"
"brazil_sao paulo_cananeia_south tip of the island od ilha comprida","",3,"sao paulo","cananeia","south tip of the island od ilha comprida"
"brazil_sao paulo_cananeia_trans cardoso road","",3,"sao paulo","cananeia","trans-cardoso road"
"brazil_sao paulo_canansia","",3,"sao paulo","canansia","character(0)"
"brazil_sao paulo_canansia_character(0)","",3,"sao paulo","canansia","character(0)"
"brazil_sao paulo_canta reira","",3,"sao paulo","sao paulo","reserva florestal"
"brazil_sao paulo_capao bonito_cultivada em campo experimental","",3,"sao paulo","capao bonito","cultivada em campo experimental"
"brazil_sao paulo_capao bonito_rodovia sp 181","",3,"sao paulo","capao bonito","rodovia sp 181"
"brazil_sao paulo_capital_jardim botanico estado sao paulo","",3,"sao paulo","capital","jardim botanico estado de sao paulo"
"brazil_sao paulo_capital_nativa no jardim botanico e parque estado","",3,"sao paulo","capital","nativa no jardim botanico e parque do estado"
"brazil_sao paulo_capital_nativa no parque estado","",3,"sao paulo","capital","nativa no parque do estado"
"brazil_sao paulo_capital_parque estado fontes ipiranga","",3,"sao paulo","capital","parque do estado fontes do ipiranga"
"brazil_sao paulo_capital_reserva biologica parque fontes ipiranga","",3,"sao paulo","capital","reserva biologica do parque das fontes do ipiranga"
"brazil_sao paulo_capital_reserva parque estadual fontes ipiran","",3,"sao paulo","capital","reserva do parque estadual do das fontes do ipiran"
"brazil_sao paulo_capivari_fazenda a sabesp","",3,"sao paulo","capivari","fazenda a sabesp"
"brazil_sao paulo_caraguatatuba guaeca","",3,"sao paulo","caraguatatuba - guaeca","a montante da estrada"
"brazil_sao paulo_caraguatatuba guaeca_a montante estrada","",3,"sao paulo","caraguatatuba - guaeca","a montante da estrada"
"brazil_sao paulo_caraguatatuba_along road 12 15 km n from city of caraguatatuba towards paraibuna, road through tall evergreen virgin forest","",3,"sao paulo","caraguatatuba","along road 12-15 km n from city of caraguatatuba towards paraibuna, road through tall evergreen virgin forest"
"brazil_sao paulo_caraguatatuba_along road 12 15 km n from city of oarauatatura towards paraibuna, road","",3,"sao paulo","caraguatatuba","along road 12-15 km n from city of oarauatatura towards paraibuna, road"
"brazil_sao paulo_caraguatatuba_condominio park imperial","",3,"sao paulo","caraguatatuba","condominio park imperial"
"brazil_sao paulo_caraguatatuba_parque estadual serra mar nucleo caraguatatuba","",3,"sao paulo","caraguatatuba","parque estadual serra mar nucleo caraguatatuba"
"brazil_sao paulo_caraguatatuba_parques estadual serra mar","",3,"sao paulo","caraguatatuba","parques estadual da serra do mar"
"brazil_sao paulo_caraguatatuba_rodovia caranguatatuba","",3,"sao paulo","caraguatatuba","rodovia caranguatatuba"
"brazil_sao paulo_caraneia_character(0)","",3,"sao paulo","caraneia","character(0)"
"brazil_sao paulo_carapicuiba_margem estrada","",3,"sao paulo","carapicuiba","margem da estrada"
"brazil_sao paulo_carapicuiba_sitio s","",3,"sao paulo","carapicuiba","sitio s"
"brazil_sao paulo_carioba_fazenda salto grande","",3,"sao paulo","carioba","fazenda salto grande"
"brazil_sao paulo_cecap","",3,"sao paulo","cecap","cecap"
"brazil_sao paulo_cecap_cecap","",3,"sao paulo","cecap","cecap"
"brazil_sao paulo_centro paulus mata regiao sul municipio sao paulo","",3,"sao paulo","centro paulus-mata-regiao sul do sao paulo","character(0)"
"brazil_sao paulo_centro paulus mata regiao sul sao paulo_character(0)","",3,"sao paulo","centro paulus-mata-regiao sul do sao paulo","character(0)"
"brazil_sao paulo_centro paulus regiao sul municipio sao paulo","",3,"sao paulo","sao paulo","character(0)"
"brazil_sao paulo_cesar souza","",3,"sao paulo","mogi das cruzes","estrada d campo antropico|estrada d"
"brazil_sao paulo_chacara santana","",3,"sao paulo","sao pedro","beira da estrada"
"brazil_sao paulo_circa 100m s of itirapina","",3,"sao paulo","brotas","brotas road"
"brazil_sao paulo_circa 12 km s of park headquarters_carlos botelho state park, circa 12 km s of park headquarters","",3,"sao paulo","circa 12 km s of park headquarters","carlos botelho state park, circa 12 km s of park headquarters"
"brazil_sao paulo_circa 28km ao s sorocaba","",3,"sao paulo","ibiuna","rodovia sp 250"
"brazil_sao paulo_circa 7 km west of br crossing at city of itirapina","",3,"sao paulo","itirapina","along road to brotas"
"brazil_sao paulo_circa7km west of rr crossing at city of itirapina","",3,"sao paulo","itirapina","along road to brotas"
"brazil_sao paulo_coletado e cultivado como ornamental no municipio atibaia","",3,"sao paulo","atibaia","character(0)"
"brazil_sao paulo_coletado e cultivado no municipio campos jordao","",3,"sao paulo","campos do jordao","como ornamental|lagoinha|character(0)"
"brazil_sao paulo_coronel macedo_barra grande","",3,"sao paulo","coronel macedo","barra grande"
"brazil_sao paulo_corumbatai_apa","",3,"sao paulo","corumbatai","apa"
"brazil_sao paulo_corumbatai_borda cerradao","",3,"sao paulo","corumbatai","borda de cerradao"
"brazil_sao paulo_corumbatai_cerradao","",3,"sao paulo","corumbatai","cerradao"
"brazil_sao paulo_corumbatai_coordenada calculada","",3,"sao paulo","corumbatai","coordenada calculada"
"brazil_sao paulo_corumbatai_nativo em cerrado proximo a rodovia washington luis","",3,"sao paulo","corumbatai","nativo em cerrado proximo a rodovia washington luis"
"brazil_sao paulo_corumbatai_reserva cerrado fapesp","",3,"sao paulo","corumbatai","reserva de cerrado da fapesp"
"brazil_sao paulo_cubat","",3,"sao paulo","cubat","nucleo itutinga-pilies|cubat"
"brazil_sao paulo_cubatao_lago azul","",3,"sao paulo","cubatao","lago azul"
"brazil_sao paulo_cunha res","",3,"sao paulo","cunha-res","cunha-res"
"brazil_sao paulo_cunha res_cunha res","",3,"sao paulo","cunha-res","cunha-res"
"brazil_sao paulo_cunha_a beira estrada ao longo rio paraibuna","",3,"sao paulo","cunha","a beira da estrada ao longo de rio paraibuna"
"brazil_sao paulo_cunha_ao lado estacao fitoecologica","",3,"sao paulo","cunha","ao lado da estacao fitoecologica"
"brazil_sao paulo_cunha_estacao experimental serra mar nuc trilha experimental b a cachoeira","",3,"sao paulo","cunha","estacao experimental da serra do mar-nuc trilha experimental b a cachoeira"
"brazil_sao paulo_cunha_estacao experimental serra mar nucleo cunha trilha bacia experimental","",3,"sao paulo","cunha","estacao experimental da serra do mar nucleo cunha- trilha da bacia experimental"
"brazil_sao paulo_cunha_estacao experimental serra mar nucleo cunha trilha bacia experimental a","",3,"sao paulo","cunha","estacao experimental da serra do mar nucleo cunha-trilha da bacia experimental a"
"brazil_sao paulo_cunha_estacao experimental serra mar nucleocunha trilha barra rio","",3,"sao paulo","cunha","estacao experimental da serra do mar nucleocunha-trilha da barra do rio"
"brazil_sao paulo_cunha_estra para a pedra macela","",3,"sao paulo","cunha","estra da para a pedra da macela"
"brazil_sao paulo_cunha_estrada em diracao a trilha rio bonito, floresta a beira estrada","",3,"sao paulo","cunha","estrada em diracao a trilha do rio bonito, floresta a beira da estrada"
"brazil_sao paulo_cunha_estrada em direcao a trilha bonito","",3,"sao paulo","cunha","estrada em direcao a trilha do bonito"
"brazil_sao paulo_cunha_estrada para a pedra marcela","",3,"sao paulo","cunha","estrada para a pedra da marcela"
"brazil_sao paulo_cunha_parque estadual serra mar nnucleo cunha","",3,"sao paulo","cunha","parque estadual da serra do mar-nnucleo cunha"
"brazil_sao paulo_cunha_reserva est","",3,"sao paulo","cunha","reserva est"
"brazil_sao paulo_cunha_reserva florestal estado","",3,"sao paulo","cunha","reserva florestal do estado"
"brazil_sao paulo_cunha_sitio vivenda meninas","",3,"sao paulo","cunha","sitio vivenda das meninas"
"brazil_sao paulo_dede brotas","",3,"sao paulo","dede brotas","nw of intersection of road to campo alegre with the brotas-itirapina road"
"brazil_sao paulo_dede brotas_nw of intersection of road to campo alegre with the brotas itirapina road","",3,"sao paulo","dede brotas","nw of intersection of road to campo alegre with the brotas-itirapina road"
"brazil_sao paulo_dede sao pedro","",3,"sao paulo","dede sao pedro","serra de sao pedro"
"brazil_sao paulo_dede sao pedro_serra sao pedro","",3,"sao paulo","dede sao pedro","serra de sao pedro"
"brazil_sao paulo_desde parelheiros rumbo a eng","",3,"sao paulo","sao paulo","a 300m de la estrada ponte seca rumbo a marsilac|a 300 m de la estrada ponte seca rumbo a marsilac"
"brazil_sao paulo_desde parelheiros rumo a eng","",3,"sao paulo","sao paulo","a 300 m de la estrada ponte seca rumo a marsilac"
"brazil_sao paulo_distrito martinho prado","",3,"sao paulo","mogi guacu","reserva biologica de mogi guacu, fazenda campininha, paralela a estrada"
"brazil_sao paulo_distrito parelheiros_estrada vargem grande no 20","",3,"sao paulo","distrito de parelheiros","estrada da vargem grande no 20"
"brazil_sao paulo_distrito parelheiros_estrada vargem grande nº 20","",3,"sao paulo","distrito de parelheiros","estrada da vargem grande nº 20"
"brazil_sao paulo_distrito santa maria","",3,"sao paulo","cananeia","parque estadual da jacpiranga"
"brazil_sao paulo_distrito stª maria","",3,"sao paulo","cananeia","estadual de jacupiranga"
"brazil_sao paulo_e gruta minotauro","",3,"sao paulo","ribeirao grande","porem com trechos mais preservados sobre rochas carsticas"
"brazil_sao paulo_efe","",3,"sao paulo","efe","efe"
"brazil_sao paulo_efe_efe","",3,"sao paulo","efe","efe"
"brazil_sao paulo_eldorado paulista_nucleo caverna biabo parque estadual jacupiranga","",3,"sao paulo","eldorado paulista","nucleo caverna do biabo- parque estadual de jacupiranga"
"brazil_sao paulo_eldorado_parfque estadual jacupiranga","",3,"sao paulo","eldorado","parfque estadual de jacupiranga"
"brazil_sao paulo_eldorado_parque esadual jacupiranga","",3,"sao paulo","eldorado","parque esadual de jacupiranga"
"brazil_sao paulo_eldorado_parque estadual intervales, tilha acesso a estacao ecologica xitue","",3,"sao paulo","eldorado","parque estadual intervales, tilha de acesso a estacao ecologica xitue"
"brazil_sao paulo_eldorado_parque estadual jacupiranga caverna","",3,"sao paulo","eldorado","parque estadual de jacupiranga- caverna"
"brazil_sao paulo_eldorado_parque estadual jacutinga","",3,"sao paulo","eldorado","parque estadual de jacutinga"
"brazil_sao paulo_eldorado_saibadela","",3,"sao paulo","eldorado","saibadela"
"brazil_sao paulo_eldorado_to sete barras","",3,"sao paulo","eldorado","to sete barras"
