"loc","loc.correct","Freq","stateProvince","municipality","locality"
"brazil_sao paulo_pariquera acu_propriedade senhor flavio","",438,"sao paulo","pariquera-acu|pariquera acu","propriedade do senhor flavio"
"brazil_sao paulo_miracatu_serra cafezal","",436,"sao paulo","miracatu","serra do cafezal"
"brazil_sao paulo_campos jordao_horto florestal","",434,"sao paulo","campos do jordao|campos de jordao","horto florestal"
"brazil_sao paulo_amparo_monte alegre","",431,"sao paulo","amparo","monte alegre"
"brazil_sao paulo_estacao experimental boraceia","",426,"sao paulo","salesopolis","atual estacao biologica de boraceia"
"brazil_sao paulo_salesopolis_atual estacao biologica boraceia","",426,"sao paulo","salesopolis","atual estacao biologica de boraceia"
"brazil_sao paulo_atibaia_pedra grande","",414,"sao paulo","atibaia","pedra grande"
"brazil_sao paulo_jardim botanico arariba rppn","",414,"sao paulo","amparo","jardim botanico arariba rppn, rppn|jardim botanico arariba rppn, rppn, estrada stellarium|jardim botanico arariba rppn, rppn #?# amparo sp|jardim botanico arariba rppn, rppn, rppn entrada do meio"
"brazil_sao paulo_sao bento sapucai_pedra bauzinho","",410,"sao paulo","sao bento do sapucai","pedra do bauzinho|pedra da bauzinho|pedra bauzinho"
"brazil_sao paulo_ilha cardoso","",403,"sao paulo","cananeia","reserva biologica|estrada para a barragem|estrada para captacao|morro jacareu|estrada para turbina|margem da estrada para a represa|estrada para a turbina|estrada da captacao|na reserva biologica da ilha do cardoso|estrada para o morro da captacao|mata perto da estrada para turbina|estrada|morro dos andrades|estrada transcardoso|morro da captacao|morro do jacareu|morro de captacao|estrada de captacao de agua|estrada para morro da captacao|estrada para o morro tres irmaos|estrada para a captacao|reserva do parque estadual da ilha do cardoso|morro do meio|restinga da estrada de captacao de agua|estrada da captacao, arvore caida na beira da estrada|beira da estrada da captacao|estrada para captacao de agua doce|estrada para a captacao de agua|mata as margens da estrada da captacao|morro das almas|trilha entre a estrada da captacao e o manguezal|ma estrada para a captacao de agua doce|estrada para o morro da captacao em restinga arborea|morro das pedras|estrada do trapiche|estrada da captacao de agua|na estrada para a captacao de agua doce|estrada para a captacao de agua doce|mata da estrada da captacao de agua|final da estrada de captacao|estrada para o morro de captacao|borda da estrada da captacao|margem da estrada para a turbina|estrada de captacao|estrada da capitacao|na estrada para a captacao da agua doce|restinga marginal a estrada da captacao|reserva biologica, estrada da captacao|lado direito da estrada para o laboratorio central|estrada para o morrro da captacao|reserva estadual|estrada para captacao de agua|mata da estrada da captacao|trilha entre a estrada da captacao e o poco das antas|estrada da captacao d'agua|camino de acesso ao reservatorio de agua|estrada para o m orro da captacao|mata de estrada da captacao|na estrada para a captacao de agua|estrada da captacao de agua doce|estrada para o morro d|beira de estrada em mata de restinga e em torno da estacao|morro do tassuva|beira de estrada|estrada que vai para a cachoeira na ilha do cardoso|morro do barreirinho|estrada para o morro t|morro do cardoso|beira da estrada em lugar umido|sitio grande|trans-cardoso road|between trans-cardoso road and ecological station|at the end of the trans-cardoso road|trans-cardoso road, swamp area on edge of road along mata de encosta forest|trans-cardoso road, edge of road along mata de encosta forest|estrada para a turbna|estrada que leva a floresta atlantica|parque estadual|mata da estrada da captacao as margens do rio pereque|mata de estrada de captacao as margens do rio pereque|na estrada para captacao de agua doce|estrada pra a turbina|mata para as margens da estrada de captacao|margem da estrada para o trapiche|beira da estrada para a usina|estrada para a usina"
"brazil_sao paulo_jardim botanico","",400,"sao paulo","jardim botanico","jardim botanico|jardim botanico, e parque do estado|jardim botanico, parque do estado|trilha para nascente do rio ipiranga|jardim botanico, nativa no jardim botanico e parque do estado|sao paulo|parque do estado e jardim botanico de sao paulo"
"brazil_sao paulo_amparo_jardim botanico arariba rppn, rppn","",398,"sao paulo","amparo","jardim botanico arariba rppn, rppn"
"brazil_sao paulo_monte alegre sul_estacao experimental iac","",398,"sao paulo","monte alegre do sul","estacao experimental do iac|estacao experimental iac|estacao experimental da iac"
"brazil_sao paulo_campos jordao_parque estadual instituto florestal","",389,"sao paulo","campos do jordao","parque estadual do instituto florestal|parque estadual-instituto florestal|parque estadual instituto florestal"
"brazil_sao paulo_guaruja_forte andradas","",382,"sao paulo","guaruja","forte dos andradas"
"brazil_sao paulo_jardim botanico_jardim botanico","",371,"sao paulo","jardim botanico","jardim botanico"
"brazil_sao paulo_ubatuba_praia fazenda","",359,"sao paulo","ubatuba","praia da fazenda|praia de fazenda"
"brazil_sao paulo_analandia_parque rauvitscher, fazenda pedra vermelha","",358,"sao paulo","analandia","parque rauvitscher, fazenda pedra vermelha"
"brazil_sao paulo_parque rauvitscher","",358,"sao paulo","analandia","parque rauvitscher, fazenda pedra vermelha"
"brazil_sao paulo_iiha comprida","",356,"sao paulo","iiha comprida","estrada de acesso a praia||pedrinhas|floresta ombrofila densa das terras baixas|proximo ao ponto de chegada de balsa no bairro boqueirao sul|estrada entre a balsa e a praia de ilha comprida|brasil|em pedrinhas|restinga|proximo ao fim da av|ilha comprida|na praia|na praia em areia encharcada"
"brazil_sao paulo_botucatu_parque ecologico pavuna sede ate a trilha esquerda na entrada cachoeiras","",352,"sao paulo","botucatu","parque ecologico da pavuna da sede ate a trilha da esquerda na entrada das cachoeiras"
"brazil_sao paulo_campos jordao_morro elefante","",347,"sao paulo","campos do jordao","morro do elefante"
"brazil_sao paulo_campinas_sousas","",345,"sao paulo","campinas","sousas"
"brazil_sao paulo_bertioga_parque neblinas","",333,"sao paulo","bertioga","parque das neblinas"
"brazil_sao paulo_paranapiacaba","",332,"sao paulo","paranapiacaba|santo andre|sao bernardo do campo|bertioga","|serra, rodovia|trilha para pedra lisa|estacao ecologica|serra do mar bei paranapiacaba an der eisenbahnlinie zwischen sao paulo und santos|colecoes a os lados da trilha para a pedra lisa|colecoes a dos lados da trilha para a pedra lisa|about 30km north of santos|paranapiacaba|colecoes ao lado da trilha para pedra lisa|estacao biologica|serra do mar|estrada velha para paranapiacaba|trilha atras da guarita da estrada do taquarucu|estrada do taquarucu|estrada paranapiacaba|reserva biologica do alto da serra de paranapiacaba|estacao biologica do alto da serra|parque municipal das nascentes de paranapiacaba|parque ecologico municipal das nascentes de paranapiacaba, beira de estrada|estacao biologica do alt|estacao biologica de alto da serra, mata pluvial atlantica|parque natural municipal nascentes de paranapiacaba|parque nascentes de paranapiacaba, estrada para taguarucu|estrada do taquarucu, parque municipal nascentes de paranapiacaba|estrada do taquerucu|parque nascentes de paranapiacaba|estrada de paranapiacaba|parque nascentes de paranapiacaba, estrada do taguarucu|estrada do taguarucu"
"brazil_sao paulo_sao luiz paraitinga_pesm","",332,"sao paulo","sao luiz do paraitinga","pesm"
"brazil_sao paulo_rio claro_floresta estadual edmundo navarro andrade","",329,"sao paulo","rio claro","floresta estadual edmundo navarro de andrade"
"brazil_sao paulo_campos jordao_umuarama","",323,"sao paulo","campos do jordao","umuarama"
"brazil_sao paulo_ubatuba_planicie litoranea picinguaba","",315,"sao paulo","ubatuba","planicie litoranea de picinguaba|planicie litoranea picinguaba"
"brazil_sao paulo_bairro sorocabucu","",313,"sao paulo","ibiuna","8 km da estrada cotia-ibiuna no km 63|8km da estrada cotia-ibiuna n0 km 63|8km da estrada sp 250 no km 63|+-8km da estrada sp-250 no km 63|- 8 km da estrada sp-250|ca 8km da estrada sp 250 no km 63|circa 8 km da estrada sp-250 no km 63|circa 8 km da estrada|mais ou menos 8 km da estrada sp-250 no km 63|+- 8 km da estrada sp-250 no km 63|8 km da estrada sp-250 no km 63|0 km da estrada sp-250 no km 63|circa 8km da estrada sp-250"
"brazil_sao paulo_campos jordao_pico itapeva","",313,"sao paulo","campos do jordao","pico do itapeva|pico itapeva|pico de itapeva|pico da itapeva"
"brazil_sao paulo_sao jose campos_reserva florestal boa vista","",309,"sao paulo","sao jose dos campos","reserva florestal da boa vista|reserva florestal de boa vista|reserva florestal boa vista"
"brazil_sao paulo_a 20 km botucatu","",298,"sao paulo","botucatu","fazenda mac e 4 meninas|fazenda 4 meninas e mac|fazenda mac|fazenda 3 marias e mac|fazenda 4 meninas|fazenda mac e 3 marias|5 km a oeste da sede da fazenda mac|a oeste da fazenda mac|2 km a leste da sede da fazenda mac"
"brazil_sao paulo_cananeia_propriedade senhor flavio","",297,"sao paulo","cananeia","propriedade do senhor flavio"
"brazil_sao paulo_peruibe_nucleo arpoador","",296,"sao paulo","peruibe","nucleo arpoador"
"brazil_sao paulo_ilha comprida_arredores","",293,"sao paulo","ilha comprida","arredores"
"brazil_sao paulo_bertioga_parque estadual restinga bertioga","",292,"sao paulo","bertioga","parque estadual restinga de bertioga"
"brazil_sao paulo_ribeirao grande_parque estadual intervales, com inicio na estrada carmo","brazil_sao paulo_ribeirao grande_parque estadual intervales",292,"sao paulo","ribeirao grande","parque estadual intervales, com inicio na estrada do carmo|parque estadual de intervales, com inicio na estrada do carmo"
"brazil_sao paulo_ubatuba_ubatuba","",289,"sao paulo","ubatuba","ubatuba"
"brazil_sao paulo_campinas_campinas","",288,"sao paulo","campinas","campinas"
"brazil_sao paulo_campos jordao_fazenda guarda","",283,"sao paulo","campos do jordao","fazenda da guarda|fazenda guarda"
"brazil_sao paulo_cananeia_cananeia","",283,"sao paulo","cananeia","cananeia"
"brazil_sao paulo_sao paulo_instituto botanica","",281,"sao paulo","sao paulo","instituto de botanica|instituto botanica"
"brazil_sao paulo_mairipora_parque estadualcantareira","",280,"sao paulo","mairipora","parque estadualcantareira"
"brazil_sao paulo_miracatu_reserva votorantim","",279,"sao paulo","miracatu","reserva votorantim"
"brazil_sao paulo_peruibe_estacao biologica jureia","",275,"sao paulo","peruibe","estacao biologica de jureia"
"brazil_sao paulo_mairipora_serra cantareira","",271,"sao paulo","mairipora","serra da cantareira"
"brazil_sao paulo_itirapina_rodovia washington luiz","",264,"sao paulo","itirapina","rodovia washington luiz"
"brazil_sao paulo_campos jordao_reserva instituto florestal","",262,"sao paulo","campos do jordao","reserva do instituto florestal|reserva instituto florestal"
"brazil_sao paulo_sao jose campos_distrito sao francisco xavier","",261,"sao paulo","sao jose dos campos","distrito de sao francisco xavier|distrito sao francisco xavier"
"brazil_sao paulo_juquia_trilha casa pedra","",258,"sao paulo","juquia","trilha da casa da pedra|trilha da casa de pedra"
"brazil_sao paulo_brasil_brasil","",256,"sao paulo","brasil","brasil"
"brazil_sao paulo_iguape_estacao ecologicajureia itatins","",256,"sao paulo","iguape","estacao ecologicajureia-itatins|estacao ecologicajureia itatins"
"brazil_sao paulo_sao luiz paraitinga_propriedade joao","",254,"sao paulo","sao luiz do paraitinga","propriedade de joao"
"brazil_sao paulo_itanhaem_km 325 rodovia pe manoel nobrega","",252,"sao paulo","itanhaem","km 325 rodovia pe manoel da nobrega"
"brazil_sao paulo_cananeia_o parque estadual ilha cardoso, 500 ha e foi transformada em parque estadual pelo decreto 40","",251,"sao paulo","cananeia","o parque estadual da ilha do cardoso, 500 ha e foi transformada em parque estadual pelo decreto 40"
"brazil_sao paulo_marsilac","",251,"sao paulo","marsilac|sao paulo|parelheiros|piracaia|itapevi","reserva estadual do curucutu|reserva estadual do curucutu trilha para o mirante|reserva estadual do curucutu subida para o mirante|parque estadual da serra do mar nucleo curucutu|parque estadual da serra do mar nucleo cunha|parque estadual serra mar nucleo curucutu|nucleo curucutu|parque estadual da serra do mar|sitio a esquerda na estrada eng|parque estadual serra mar nucleo curucutu, parque estadual da serra do mar|sitio a esquerda na estrada engº marsilac|sitio a esquerda na estrada engenheiro marsilac|marsilac|bairro ponte alta|sitio a esquerda na estrada engº marsillac|pq estadual da serra do mar|estrada marsilac, parque estadual da serra do mar nucleo curucutu|reserva estadual de curucutu|estrada marsilac-parque estadual da serra do mar-nucleo curucutu|sitio a esquerda na estrada eng° marsilac|reserva estadula do curucutu|sitio maravilha trilha para cachoeira do sagui|estrada das arapongas|estrada do mambu|sitio maravilha|estrada marsilac-parque estadual da serra do mar nucleo curucutu"
"brazil_sao paulo_o parque estadual ilha cardoso","",251,"sao paulo","cananeia","o parque estadual da ilha do cardoso, 500 ha e foi transformada em parque estadual pelo decreto 40"
"brazil_sao paulo_botucatu_parque ecologico pavuna sede ate o lago e volta contornando toda a borda","",250,"sao paulo","botucatu","parque ecologico da pavuna da sede ate o lago e volta contornando toda a borda"
"brazil_sao paulo_pederneiras_horto fepasa","",250,"sao paulo","pederneiras","horto da fepasa"
"brazil_sao paulo_caraguatatuba_floresta ombrofila densa montana","",248,"sao paulo","caraguatatuba","floresta ombrofila densa montana"
"brazil_sao paulo_av","",245,"sao paulo","av|atibaia","jardim novo horizonte|jardim marilda|av|parque jatibaia|parque do carmo|jardim celeste|parque do estado|beira da estrada|em frente a entrada da fazenda santana"
"brazil_sao paulo_campinas_mata santana atalaia","",245,"sao paulo","campinas","mata santana do atalaia|mata santana atalaia"
"brazil_sao paulo_trilha almada","",244,"sao paulo","ubatuba","13 km da rodovia rio|km 13 da rodovia rio|km 123 da rodovia rio|rodovia rio|km13 da rodovia rio|km 13 da rodovia rio, mata atlantica|km 13 da rodovia rio-s|km 13 da rodovia rio s|km 13 da rodovia rio-santos|km 13 da rodovia rio santos|km 13 rodovia rio-santos|km 13 da rodovia rio- santos"
"brazil_sao paulo_ibiuna_bairro gabriel","",242,"sao paulo","ibiuna","bairro gabriel|bairro dos gabriel|bairro do gabriel"
"brazil_sao paulo_ubatuba_trilha e estrada almada","",234,"sao paulo","ubatuba","trilha e estrada da almada|trilha e estrada de almada"
"brazil_sao paulo_jundiai_unidade desenvolvimento ambiental","",233,"sao paulo","jundiai","unidade de desenvolvimento ambiental"
"brazil_sao paulo_monte alegre sul_estacao experimental ibiti","",229,"sao paulo","monte alegre do sul","estacao experimental de ibiti"
"brazil_sao paulo_tiete_iac","",227,"sao paulo","tiete","iac"
"brazil_sao paulo_campos jordao_sao jose alpes","",225,"sao paulo","campos do jordao","sao jose dos alpes|sao jose alpes"
"brazil_sao paulo_sao jose campos_flora reserva florestal boa vista","",223,"sao paulo","sao jose dos campos","flora da reserva florestal da boa vista|flora da reserva florestal de boa vista"
"brazil_sao paulo_sao carlos_parcela sca","",220,"sao paulo","sao carlos","parcela sca"
"brazil_sao paulo_pariquera acu_estrada para cananeia","",219,"sao paulo","pariquera-acu","estrada para cananeia"
"brazil_sao paulo_14","",218,"sao paulo","14|braganca paulista|morungaba","6 km west along road from rr viaduct at braganca paulista|west along road from rr viaduct at braganca paulista|6km west along road from rr viaduct at braganca paulista|6km west along road from rr|6 km w ao longo da estrada de braganca paulista|6km w ao longo da estrada de braganca paulista|6km ao longo da estrada de braganca paulista|6km west along road from the rr viaduct at braganca paulista|6 km w longo da estrada de braganca paulista|6 km w along road from rr viaduct at braganca paulista|6 km w along road from rr viaduct at braganca paulista, south of road|6 km w along road from rr viaduct at braganca paulista, north side of road|6km w ao longo da estrada de bragasnca paulista|6 km west along road from br viaduct at city of braganca paulista|6km w ao longo da estrada da braganca paulista|6 km west along road from br viaduct at braganca paulista|6km w ao longo da estrada braganca paulista, beira da estrada|6km west along road from rr viaduct at braganca paulista, 300m south of road"
