"name","country","stateProvince","municipality","protectionCategory","UC_ID","source","type","slug"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO CÓRREGO CABECEIRA DO VALO","Brazil","Distrito Federal","BRASÍLIA (DF)","Uso Sustentável","1.652","cnuc_2025_08.csv","ARIE","ARIE_CORREGO_CABECEIRA_DO_VALO"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO CÓRREGO MATO GRANDE","Brazil","Distrito Federal","BRASÍLIA (DF)","Uso Sustentável","1.65","cnuc_2025_08.csv","ARIE","ARIE_CORREGO_MATO_GRANDE"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO CRULS","Brazil","Distrito Federal","BRASÍLIA (DF)","Uso Sustentável","1.658","cnuc_2025_08.csv","ARIE","ARIE_CRULS"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO CURADO","Brazil","Pernambuco","RECIFE (PE)","Uso Sustentável","4.289","cnuc_2025_08.csv","ARIE","ARIE_CURADO"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO DÉCIO RIBEIRO DOS REIS","Brazil","Goiás","CRISTIANÓPOLIS (GO)","Uso Sustentável","4.803","cnuc_2025_08.csv","ARIE","ARIE_DECIO_RIBEIRO_DOS_REIS"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO DEGREDO","Brazil","Espírito Santo","LINHARES (ES)","Uso Sustentável","2.054","cnuc_2025_08.csv","ARIE","ARIE_DEGREDO"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO DOIS IRMÃOS","Brazil","Pernambuco","RECIFE (PE)","Uso Sustentável","4.311","cnuc_2025_08.csv","ARIE","ARIE_DOIS_IRMAOS"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO DOIS UNIDOS","Brazil","Pernambuco","RECIFE (PE)","Uso Sustentável","4.276","cnuc_2025_08.csv","ARIE","ARIE_DOIS_UNIDOS"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO DOM BOSCO","Brazil","Distrito Federal","BRASÍLIA (DF)","Uso Sustentável","1.648","cnuc_2025_08.csv","ARIE","ARIE_DOM_BOSCO"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO FAZENDA RAPOSA","Brazil","Ceará","MARACANAÚ (CE)","Uso Sustentável","4.064","cnuc_2025_08.csv","ARIE","ARIE_FAZENDA_RAPOSA"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO FLORESTA DA CICUTA","Brazil","Rio de Janeiro","BARRA MANSA (RJ) - VOLTA REDONDA (RJ)","Uso Sustentável","35","cnuc_2025_08.csv","ARIE","ARIE_FLORESTA_DA_CICUTA"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO FLORESTA DA POSSE","Brazil","Rio de Janeiro","RIO DE JANEIRO (RJ)","Uso Sustentável","4.379","cnuc_2025_08.csv","ARIE","ARIE_FLORESTA_DA_POSSE"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO FORMIGUEIRO-DO-LITORAL","Brazil","Rio de Janeiro","SAQUAREMA (RJ)","Uso Sustentável","4.668","cnuc_2025_08.csv","ARIE","ARIE_FORMIGUEIRO-DO-LITORAL"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO GOIAMUNDUBA","Brazil","Paraíba","BANANEIRAS (PB)","Uso Sustentável","2.33","cnuc_2025_08.csv","ARIE","ARIE_GOIAMUNDUBA"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO GRANJA DO IPÊ","Brazil","Distrito Federal","BRASÍLIA (DF)","Uso Sustentável","1.644","cnuc_2025_08.csv","ARIE","ARIE_GRANJA_DO_IPE"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO GUARÁ","Brazil","São Paulo","ILHA COMPRIDA (SP)","Uso Sustentável","1.725","cnuc_2025_08.csv","ARIE","ARIE_GUARA"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO HORTO D'EL REY","Brazil","Pernambuco","OLINDA (PE)","Uso Sustentável","4.568","cnuc_2025_08.csv","ARIE","ARIE_HORTO_D'EL_REY"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO ILHA DO AMEIXAL","Brazil","São Paulo",NA,"Uso Sustentável","0000.00.0036","DadosGeoestatisticos_UCs_21jul2025.csv","ARIE","ARIE_ILHA_DO_AMEIXAL"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO ILHA DO ZECA","Brazil","Pernambuco","RECIFE (PE)","Uso Sustentável","4.277","cnuc_2025_08.csv","ARIE","ARIE_ILHA_DO_ZECA"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO ILHAS CATAGUÁS","Brazil","Rio de Janeiro","ANGRA DOS REIS (RJ)","Uso Sustentável","4.998","cnuc_2025_08.csv","ARIE","ARIE_ILHAS_CATAGUAS"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO ILHAS DA QUEIMADA PEQUENA E QUEIMADA GRANDE","Brazil","São Paulo",NA,"Uso Sustentável","0000.00.0037","DadosGeoestatisticos_UCs_21jul2025.csv","ARIE","ARIE_ILHAS_DA_QUEIMADA_PEQUENA_E_QUEIMADA_GRANDE"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO ILHAS QUEIMADA GRANDE E QUEIMADA PEQUENA","Brazil","São Paulo","PERUÍBE (SP)","Uso Sustentável","37","cnuc_2025_08.csv","ARIE","ARIE_ILHAS_QUEIMADA_GRANDE_E_QUEIMADA_PEQUENA"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO IPOJUCA-MEREPE","Brazil","Pernambuco","IPOJUCA (PE)","Uso Sustentável","3.316","cnuc_2025_08.csv","ARIE","ARIE_IPOJUCA-MEREPE"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO IPUTINGA","Brazil","Pernambuco","RECIFE (PE)","Uso Sustentável","4.279","cnuc_2025_08.csv","ARIE","ARIE_IPUTINGA"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO ITAPEBUSSUS","Brazil","Rio de Janeiro","RIO DAS OSTRAS (RJ)","Uso Sustentável","2.553","cnuc_2025_08.csv","ARIE","ARIE_ITAPEBUSSUS"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO JAPIIM PENTECOSTE","Brazil","Acre","MÂNCIO LIMA (AC)","Uso Sustentável","1.983","cnuc_2025_08.csv","ARIE","ARIE_JAPIIM_PENTECOSTE"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO JAVARI BURITI","Brazil","Amazonas","SANTO ANTÔNIO DO IÇÁ (AM)","Uso Sustentável","38","cnuc_2025_08.csv","ARIE","ARIE_JAVARI_BURITI"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO JAVARÍ-BURITI","Brazil","Amazonas",NA,"Uso Sustentável","0000.00.0038","DadosGeoestatisticos_UCs_21jul2025.csv","ARIE","ARIE_JAVARI-BURITI"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO JIQUIÁ","Brazil","Pernambuco","RECIFE (PE)","Uso Sustentável","4.25","cnuc_2025_08.csv","ARIE","ARIE_JIQUIA"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO JOANA BEZERRA","Brazil","Pernambuco","RECIFE (PE)","Uso Sustentável","4.28","cnuc_2025_08.csv","ARIE","ARIE_JOANA_BEZERRA"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO LAERTH PAIVA GAMA","Brazil","Espírito Santo","ALEGRE (ES)","Uso Sustentável","2.878","cnuc_2025_08.csv","ARIE","ARIE_LAERTH_PAIVA_GAMA"
