Nome da Unidade de Conservação conforme o Ato legal,Grupo (SNUC),Gerência Regional do ICMBio,Código CNUC (MMA),Atos legais (Criação ou redefinição),UF de Abrangência,Bioma* (IBGE 1:250mil),Bioma para fins de Compensação de Reserva Legal,Área (em hectares)**
ÁREA DE PROTEÇÃO AMBIENTAL ANHATOMIRIM,Uso Sustentável,GR5,0000.00.0001,DEC 528 de 20/05/1992,SC,MATA ATLÂNTICA,MATA ATLÂNTICA e SISTEMA COSTEIRO-MARINHO,4436.59022669
ÁREA DE PROTEÇÃO AMBIENTAL BACIA DO PARAÍBA DO SUL,Uso Sustentável,GR4,0000.00.1521,DEC 87.561 de 13/09/1982,MG/RJ/SP,MATA ATLÂNTICA,MATA ATLÂNTICA,292599.924224
ÁREA DE PROTEÇÃO AMBIENTAL CARSTE DE LAGOA SANTA,Uso Sustentável,GR4,0000.00.0020,DEC 98.881 de 25/01/1990; DEC 1.876 de 25/04/1996,MG,CERRADO,CERRADO,37735.5772362
ÁREA DE PROTEÇÃO AMBIENTAL CAVERNAS DO PERUAÇU,Uso Sustentável,GR4,0000.00.0002,DEC 98.182 de 26/09/1989,MG,CERRADO,CAATINGA e CERRADO,143355.585707
ÁREA DE PROTEÇÃO AMBIENTAL COSTA DAS ALGAS,Uso Sustentável,GR4,0000.00.1912,DEC S/N de 17/06/2010,ES,SISTEMA COSTEIRO-MARINHO,SISTEMA COSTEIRO-MARINHO,115001.922234
ÁREA DE PROTEÇÃO AMBIENTAL DA ARARINHA AZUL,Uso Sustentável,GR2,0000.00.3696,DEC 9.402 de 05/06/2018,BA,CAATINGA,CAATINGA,90641.9177311
ÁREA DE PROTEÇÃO AMBIENTAL DA BACIA DO RIO DESCOBERTO,Uso Sustentável,GR3,0000.00.0003,DEC 88.940 de 07/11/1983,GO/DF,CERRADO,CERRADO,41783.6139427
ÁREA DE PROTEÇÃO AMBIENTAL DA BACIA DO RIO SÃO BARTOLOMEU,Uso Sustentável,GR3,0000.00.0004,DEC 88.940 de 07/11/1983,DF,CERRADO,CERRADO,82680.8036275
ÁREA DE PROTEÇÃO AMBIENTAL DA BACIA DO RIO SÃO JOÃO/MICO-LEÃO-DOURADO,Uso Sustentável,GR4,0000.00.0005,DEC S/N de 27/06/2002,RJ,MATA ATLÂNTICA,MATA ATLÂNTICA,150374.606758
ÁREA DE PROTEÇÃO AMBIENTAL DA BALEIA FRANCA,Uso Sustentável,GR5,0000.00.0006,DEC S/N de 14/09/2000,SC,MATA ATLÂNTICA,MATA ATLÂNTICA e SISTEMA COSTEIRO-MARINHO,154867.403496
ÁREA DE PROTEÇÃO AMBIENTAL DA BARRA DO RIO MAMANGUAPE,Uso Sustentável,GR2,0000.00.0007,DEC  924 de 10/09/1993; DEC S;N 7/04/1998,PB,MATA ATLÂNTICA,SISTEMA COSTEIRO-MARINHO e MATA ATLÂNTICA,14917.7912047
ÁREA DE PROTEÇÃO AMBIENTAL DA CHAPADA DO ARARIPE,Uso Sustentável,GR2,0000.00.0008,DEC S/N de 04/08/1997,PI/CE/PE,CAATINGA,CAATINGA,1017366.23833
ÁREA DE PROTEÇÃO AMBIENTAL DA COSTA DOS CORAIS,Uso Sustentável,GR2,0000.00.0009,"DEC S/N de 23/10/1997, DEC 12.490 de 05/06/2025",PE/AL,SISTEMA COSTEIRO-MARINHO,SISTEMA COSTEIRO-MARINHO,495084.04479
ÁREA DE PROTEÇÃO AMBIENTAL DA FOZ DO RIO DOCE,Uso Sustentável,GR4,0000.00.5126,"DEC 12.483, de 03/06/2025",ES,MATA ATLÂNTICA,SISTEMA COSTEIRO-MARINHO e MATA ATLÂNTICA,45417.3791322
ÁREA DE PROTEÇÃO AMBIENTAL DA REGIÃO SERRANA DE PETRÓPOLIS,Uso Sustentável,GR4,0000.00.0010,DEC 87.561 de 13/09/1982; DEC  527 de 20/05/1992; LEI 14.452 de 21/09/2022; LEI 14.516 de 29/12/2022,RJ,MATA ATLÂNTICA,MATA ATLÂNTICA,58691.3157367
ÁREA DE PROTEÇÃO AMBIENTAL DA SERRA DA MANTIQUEIRA,Uso Sustentável,GR4,0000.00.0011,DEC 91.304 de 03/06/1985; LEI 9.097 de 19/09/1995,MG/RJ/SP,MATA ATLÂNTICA,MATA ATLÂNTICA,437525.100693
ÁREA DE PROTEÇÃO AMBIENTAL DAS ILHAS E VÁRZEAS DO RIO PARANÁ,Uso Sustentável,GR5,0000.00.0025,DEC S/N de 30/09/1997,SP/PR/MS,MATA ATLÂNTICA,MATA ATLÂNTICA,1005188.38514
ÁREA DE PROTEÇÃO AMBIENTAL DAS NASCENTES DO RIO VERMELHO,Uso Sustentável,GR3,0000.00.0028,DEC S/N de 27/09/2001,BA/GO,CERRADO,CERRADO,173968.869204
ÁREA DE PROTEÇÃO AMBIENTAL DE CAIRUÇU,Uso Sustentável,GR4,0000.00.0013,DEC 89.242 de 27/12/1983,RJ/SP,MATA ATLÂNTICA,MATA ATLÂNTICA e SISTEMA COSTEIRO-MARINHO,32610.7779069
ÁREA DE PROTEÇÃO AMBIENTAL DE CANANÉIA-IGUAPE-PERUÍBE,Uso Sustentável,GR4,0000.00.0014,DEC 90.347 de 23/10/1984; DEC  91.892 de 6/11/1985,SP,MATA ATLÂNTICA,MATA ATLÂNTICA e SISTEMA COSTEIRO-MARINHO,202309.580662
ÁREA DE PROTEÇÃO AMBIENTAL DE FERNANDO DE NORONHA - ROCAS - SÃO PEDRO E SÃO PAULO,Uso Sustentável,GR2,0000.00.0015,DEC 92.755 de 05/06/1986,PE,SISTEMA COSTEIRO-MARINHO,SISTEMA COSTEIRO-MARINHO,154405.815629
ÁREA DE PROTEÇÃO AMBIENTAL DE GUAPI-MIRIM,Uso Sustentável,GR4,0000.00.0016,DEC 90.225 de 25/09/1984,RJ,MATA ATLÂNTICA,MATA ATLÂNTICA,13890.5382227
ÁREA DE PROTEÇÃO AMBIENTAL DE GUARAQUEÇABA,Uso Sustentável,GR5,0000.00.0017,DEC 90.883 de 31/01/1985,SP/PR,MATA ATLÂNTICA,MATA ATLÂNTICA,245642.072791
ÁREA DE PROTEÇÃO AMBIENTAL DE PIAÇABUÇU,Uso Sustentável,GR2,0000.00.0018,DEC 88.421 de 21/06/1983,AL,MATA ATLÂNTICA,MATA ATLÂNTICA,9107.00970852
ÁREA DE PROTEÇÃO AMBIENTAL DELTA DO PARNAÍBA,Uso Sustentável,GR2,0000.00.0019,DEC S/N de 28/08/1996,MA/PI/CE,CERRADO,"CERRADO, CAATINGA e SISTEMA COSTEIRO-MARINHO",309593.770698
ÁREA DE PROTEÇÃO AMBIENTAL DO ARQUIPÉLAGO DE SÃO PEDRO E SÃO PAULO,Uso Sustentável,GR2,0000.00.3643,DEC 9.313 de 19/03/2018,PB,SISTEMA COSTEIRO-MARINHO,SISTEMA COSTEIRO-MARINHO,38450193.8156
ÁREA DE PROTEÇÃO AMBIENTAL DO ARQUIPÉLAGO DE TRINDADE E MARTIM VAZ,Uso Sustentável,GR2,0000.00.3633,DEC 9.312 de 19/03/2018,BA,SISTEMA COSTEIRO-MARINHO,SISTEMA COSTEIRO-MARINHO,40385419.5828
ÁREA DE PROTEÇÃO AMBIENTAL DO BOQUEIRÃO DA ONÇA,Uso Sustentável,GR2,0000.00.3655,DEC 9.337 de 05/04/2018,BA,CAATINGA,CAATINGA,505694.325504
ÁREA DE PROTEÇÃO AMBIENTAL DO IBIRAPUITÃ,Uso Sustentável,GR5,0000.00.0021,DEC 529 de 20/05/1992,RS,PAMPA,PAMPA,316792.015354
ÁREA DE PROTEÇÃO AMBIENTAL DO IGARAPÉ GELADO,Uso Sustentável,GR1,0000.00.0022,DEC 97.718 de 05/05/1989,PA,AMAZÔNIA,AMAZÔNIA,23140.456312
ÁREA DE PROTEÇÃO AMBIENTAL DO PLANALTO CENTRAL,Uso Sustentável,GR3,0000.00.0023,DEC S/N de 10/01/2002,GO/DF,CERRADO,CERRADO,503423.357675
ÁREA DE PROTEÇÃO AMBIENTAL DO TAPAJÓS,Uso Sustentável,GR1,0000.00.0268,DEC S/N de 13/02/2006; LEI 12.678 de 25/06/2012,PA,AMAZÔNIA,AMAZÔNIA,2040350.01969
ÁREA DE PROTEÇÃO AMBIENTAL DOS CAMPOS DE MANICORÉ,Uso Sustentável,GR1,0000.00.3407,DEC S/N de 11/05/2016,AM,AMAZÔNIA,AMAZÔNIA,152410.203191
ÁREA DE PROTEÇÃO AMBIENTAL DOS MEANDROS DO RIO ARAGUAIA,Uso Sustentável,GR3,0000.00.0024,DEC S/N de 02/10/1998,MT/GO,CERRADO,CERRADO,359194.092159
ÁREA DE PROTEÇÃO AMBIENTAL MORRO DA PEDREIRA,Uso Sustentável,GR4,0000.00.0027,DEC  98.891 de 26/01/1990,MG,CERRADO,CERRADO e MATA ATLÂNTICA,131770.839245
ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA IBIAPABA,Uso Sustentável,GR2,0000.00.0029,DEC S/N de 26/11/1996,PI/CE,CAATINGA,CAATINGA e CERRADO,1628740.51628
ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA MERUOCA,Uso Sustentável,GR2,0000.00.1683,LEI 11.891 de 24/12/2008,CE,CAATINGA,CAATINGA,29361.742426
ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA TABATINGA,Uso Sustentável,GR2,0000.00.0012,DEC  99.278 de 06/06/1990; DEC S/N de 16/07/2002,MA/PI,CERRADO,CERRADO,41779.6077446
ÁREA DE RELEVANTE INTERESSE ECOLÓGICO BURITI DE VASSUNUNGA,Uso Sustentável,GR4,0000.00.0030,DEC  99.276/1990,SP,MATA ATLÂNTICA,MATA ATLÂNTICA,150.97546923
ÁREA DE RELEVANTE INTERESSE ECOLÓGICO CAPETINGA - TAQUARA,Uso Sustentável,GR3,0000.00.0031,DEC  91.303 de 03/06/1985,DF,CERRADO,CERRADO,2057.2260341
ÁREA DE RELEVANTE INTERESSE ECOLÓGICO CERRADO PÉ-DE-GIGANTE,Uso Sustentável,GR4,0000.00.0032,DEC  99.275 de 06/06/1990,SP,CERRADO,CERRADO,1199.05347455
ÁREA DE RELEVANTE INTERESSE ECOLÓGICO DA MATA DE SANTA GENEBRA,Uso Sustentável,GR4,0000.00.0040,DEC  91.885 de 05/11/1985,SP,MATA ATLÂNTICA,MATA ATLÂNTICA,241.553628471
ÁREA DE RELEVANTE INTERESSE ECOLÓGICO FLORESTA DA CICUTA,Uso Sustentável,GR4,0000.00.0035,DEC  90.792 de 09/01/1985,RJ,MATA ATLÂNTICA,MATA ATLÂNTICA,125.141046137
ÁREA DE RELEVANTE INTERESSE ECOLÓGICO ILHA DO AMEIXAL,Uso Sustentável,GR4,0000.00.0036,DEC  91.889 de 05/11/1985,SP,MATA ATLÂNTICA,MATA ATLÂNTICA,358.888042719
ÁREA DE RELEVANTE INTERESSE ECOLÓGICO ILHAS DA QUEIMADA PEQUENA E QUEIMADA GRANDE,Uso Sustentável,GR4,0000.00.0037,DEC  91.887 de 05/11/1985,SP,SISTEMA COSTEIRO-MARINHO,SISTEMA COSTEIRO-MARINHO,65.1748595281
ÁREA DE RELEVANTE INTERESSE ECOLÓGICO JAVARÍ-BURITI,Uso Sustentável,GR1,0000.00.0038,DEC  91.886 de 05/11/1985,AM,AMAZÔNIA,AMAZÔNIA,13177.1193303
ÁREA DE RELEVANTE INTERESSE ECOLÓGICO MANGUEZAIS DA FOZ DO RIO MAMANGUAPE,Uso Sustentável,GR2,0000.00.0039,DEC  91.890 de 05/11/1985,PB,MATA ATLÂNTICA,MATA ATLÂNTICA e SISTEMA COSTEIRO-MARINHO,5769.540303
ÁREA DE RELEVANTE INTERESSE ECOLÓGICO MATÃO DE COSMÓPOLIS,Uso Sustentável,GR4,0000.00.0041,DEC  90.791 de 09/01/1985,SP,MATA ATLÂNTICA,MATA ATLÂNTICA,173.089447741
ÁREA DE RELEVANTE INTERESSE ECOLÓGICO PROJETO DINÂMICA BIOLÓGICA DE FRAGMENTOS FLORESTAIS,Uso Sustentável,GR1,0000.00.0043,DEC  91.884 de 05/11/1985,AM,AMAZÔNIA,AMAZÔNIA,3336.32969701
ÁREA DE RELEVANTE INTERESSE ECOLÓGICO SERINGAL NOVA ESPERANÇA,Uso Sustentável,GR1,0000.00.0044,DEC S/N de 20/08/1999,AC,AMAZÔNIA,AMAZÔNIA,2573.98212851
ÁREA DE RELEVANTE INTERESSE ECOLÓGICO SERRA DA ABELHA,Uso Sustentável,GR5,0000.00.0045,DEC S/N de 28/05/1996,SC,MATA ATLÂNTICA,MATA ATLÂNTICA,5016.60404678
ESTAÇÃO ECOLÓGICA ALTO MAUÉS,Proteção Integral,GR1,0000.00.3131,DEC S/N de 16/10/2014,AM,AMAZÔNIA,AMAZÔNIA,665673.526737
ESTAÇÃO ECOLÓGICA DA GUANABARA,Proteção Integral,GR4,0000.00.0263,DEC S/N de 15/02/2006,RJ,MATA ATLÂNTICA,MATA ATLÂNTICA,1936.24748226
ESTAÇÃO ECOLÓGICA DA MATA PRETA,Proteção Integral,GR5,0000.00.0261,DEC S/N de 19/10/2005,SC,MATA ATLÂNTICA,MATA ATLÂNTICA,6573.48021886
ESTAÇÃO ECOLÓGICA DA SERRA DAS ARARAS,Proteção Integral,GR3,0000.00.0075,"DEC  87.222, de 31/05/1982.",MT,CERRADO,CERRADO,27159.7103623
ESTAÇÃO ECOLÓGICA DA TERRA DO MEIO,Proteção Integral,GR1,0000.00.0047,DEC S/N de 17/02/2005,PA,AMAZÔNIA,AMAZÔNIA,3373174.67543
ESTAÇÃO ECOLÓGICA DE AIUABA,Proteção Integral,GR2,0000.00.0048,"DEC S/N, de 06/02/2001",CE,CAATINGA,CAATINGA,11335.1929263
ESTAÇÃO ECOLÓGICA DE ARACURI-ESMERALDA,Proteção Integral,GR5,0000.00.0050,DEC  86.061 de 2/6/1981.,RS,MATA ATLÂNTICA,MATA ATLÂNTICA,276.979175619
ESTAÇÃO ECOLÓGICA DE CARIJÓS,Proteção Integral,GR5,0000.00.0052,"DEC 94.656, de 20/07/1987",SC,MATA ATLÂNTICA,MATA ATLÂNTICA,728.934870436
ESTAÇÃO ECOLÓGICA DE CUNIÃ,Proteção Integral,GR1,0000.00.0053,DEC S/N de 27/09/2001; DEC S/N de 21/12/2007; DEC S/N de 13/03/2008; LEI 12.249 de 11/06/2010,RO/AM,AMAZÔNIA,AMAZÔNIA,182601.287703
ESTAÇÃO ECOLÓGICA DE GUARAQUEÇABA,Proteção Integral,GR5,0000.00.0054,"DEC 87.222, de 31/05/1982; DEC  93.053, de 31/07/1986; LEI 9.513, de 20/11/1997",PR,MATA ATLÂNTICA,MATA ATLÂNTICA,4370.14585139
ESTAÇÃO ECOLÓGICA DE JUTAÍ-SOLIMÕES,Proteção Integral,GR1,0000.00.0056,"DEC  88.541, de 21/7/1983; Portaria 375, de 11/10/2001",AM,AMAZÔNIA,AMAZÔNIA,289514.171711
ESTAÇÃO ECOLÓGICA DE MARACÁ,Proteção Integral,GR1,0000.00.0057,"DEC  86.061, de 02/06/1981 e Decreto de ampliação de 11.684 de 05 /09/2023",RR,AMAZÔNIA,AMAZÔNIA,154221.726774
ESTAÇÃO ECOLÓGICA DE MARACÁ-JIPIOCA,Proteção Integral,GR1,0000.00.0058,DEC 86.061 de 02/06/1981,AP,AMAZÔNIA,AMAZÔNIA,58756.9503018
ESTAÇÃO ECOLÓGICA DE MURICI,Proteção Integral,GR2,0000.00.0059,"DEC S/N, de 28/05/2001",AL,MATA ATLÂNTICA,MATA ATLÂNTICA,6131.62928797
ESTAÇÃO ECOLÓGICA DE PIRAPITINGA,Proteção Integral,GR4,0000.00.0061,"DEC 94.656, de 20/07/1987",MG,CERRADO,CERRADO,1384.50175663
ESTAÇÃO ECOLÓGICA DE TAIAMÃ,Proteção Integral,GR3,0000.00.0062,"DEC  86.061, de 02/06/1981",MT,PANTANAL,PANTANAL,11554.9824145
ESTAÇÃO ECOLÓGICA DE TAMOIOS,Proteção Integral,GR4,0000.00.0063,"DEC  98.864, de 23/01/1990",RJ,MATA ATLÂNTICA,MATA ATLÂNTICA,8660.35333046
ESTAÇÃO ECOLÓGICA DE URUÇUÍ - UNA,Proteção Integral,GR2,0000.00.0065,"DEC  86.061, de 02/06/1981",PI,CERRADO,CERRADO,129196.44369
ESTAÇÃO ECOLÓGICA DO CASTANHÃO,Proteção Integral,GR2,0000.00.0066,"DEC S/N, de 27/09/2001",CE,CAATINGA,CAATINGA,12574.6361241
ESTAÇÃO ECOLÓGICA DO JARI,Proteção Integral,GR1,0000.00.0067,"DEC  87.092, de 12/04/1982; DEC 89.440, de 13/03/1984",PA/AP,AMAZÔNIA,AMAZÔNIA,231082.093614
ESTAÇÃO ECOLÓGICA DO SERIDÓ,Proteção Integral,GR2,0000.00.0069,"DEC  87.222, de 31/05/1982",RN,CAATINGA,CAATINGA,1123.61233302
ESTAÇÃO ECOLÓGICA DO TAIM,Proteção Integral,GR5,0000.00.0070,"DEC 92.963, de 21/07/1986; DEC S/N de 05/06/2003; DEC S/N de 05/06/2017",RS,PAMPA,PAMPA,32806.3137014
ESTAÇÃO ECOLÓGICA DOS TUPINIQUINS,Proteção Integral,GR4,0000.00.0071,"DEC 92.964, de 21/07/1986",SP,SISTEMA COSTEIRO-MARINHO,SISTEMA COSTEIRO-MARINHO,1727.71418054
ESTAÇÃO ECOLÓGICA JUAMI-JAPURÁ,Proteção Integral,GR1,0000.00.0072,"DEC 91.307, de 03/06/1985",AM,AMAZÔNIA,AMAZÔNIA,831356.05258
ESTAÇÃO ECOLÓGICA MICO-LEÃO-PRETO,Proteção Integral,GR4,0000.00.0073,DEC S/N de 16/07/2002; DEC S/N de 14/05/2004,SP,MATA ATLÂNTICA,MATA ATLÂNTICA,6680.67407184
ESTAÇÃO ECOLÓGICA NIQUIÁ,Proteção Integral,GR1,0000.00.0060,"DEC 91.306, de 03/06/1985",RR,AMAZÔNIA,AMAZÔNIA,306394.549129
ESTAÇÃO ECOLÓGICA RASO DA CATARINA,Proteção Integral,GR2,0000.00.0074,"DEC 89.268, DE 03/01/1984; Portaria 373 de de 11/10/2001",BA,CAATINGA,CAATINGA,104726.642639
ESTAÇÃO ECOLÓGICA RIO ACRE,Proteção Integral,GR1,0000.00.0068,"DEC 86.061, de 02/06/1981",AC,AMAZÔNIA,AMAZÔNIA,78930.0544559
ESTAÇÃO ECOLÓGICA SERRA GERAL DO TOCANTINS,Proteção Integral,GR3,0000.00.0076,"DEC S/N, de 27/09/2001",BA/TO,CERRADO,CERRADO,707087.739606
ESTAÇÃO ECOLÓGICA TUPINAMBÁS,Proteção Integral,GR4,0000.00.0064,"DEC  94.656, de 20/07/1987",SP,SISTEMA COSTEIRO-MARINHO,SISTEMA COSTEIRO-MARINHO,2463.61506487
FLORESTA NACIONAL CONTENDAS DO SINCORÁ,Uso Sustentável,GR2,0000.00.0081,"DEC S/N, de 21/09/1999",BA,CAATINGA,CAATINGA,11215.9307646
FLORESTA NACIONAL DA MATA GRANDE,Uso Sustentável,GR3,0000.00.0128,"DEC S/N, de 13/10/2003",GO,CERRADO,CERRADO,1951.6336351
FLORESTA NACIONAL DA RESTINGA DE CABEDELO,Uso Sustentável,GR2,0000.00.0132,"DEC S/N, de 02/06/2004",PB,MATA ATLÂNTICA,MATA ATLÂNTICA,113.266293452
FLORESTA NACIONAL DE AÇU,Uso Sustentável,GR2,0000.00.0082,Portaria 245 de 18/07/2001,RN,CAATINGA,CAATINGA,211.378339189
FLORESTA NACIONAL DE ALTAMIRA,Uso Sustentável,GR1,0000.00.0083,"DEC  2.483, de 2/2/1998",PA,AMAZÔNIA,AMAZÔNIA,724973.936311
FLORESTA NACIONAL DE ANAUÁ,Uso Sustentável,GR1,0000.00.0084,DEC S/N de 18/02/2005,RR,AMAZÔNIA,AMAZÔNIA,259402.989397
FLORESTA NACIONAL DE ASSUNGUI,Uso Sustentável,GR5,0000.00.0077,Portaria 559 de 25/10/1968,PR,MATA ATLÂNTICA,MATA ATLÂNTICA,490.811574389
FLORESTA NACIONAL DE BALATA-TUFARI,Uso Sustentável,GR1,0000.00.0085,DEC S/N de 17/02/2005; DEC S/N DE 08/05/2008,AM,AMAZÔNIA,AMAZÔNIA,1088710.21001
FLORESTA NACIONAL DE BRASÍLIA,Uso Sustentável,GR3,0000.00.0086,"DEC S/N, de 10/06/1999; LEI  14.447, de 09/09/2022",DF,CERRADO,CERRADO,5622.79090231
FLORESTA NACIONAL DE CAÇADOR,Uso Sustentável,GR5,0000.00.0078,Portaria 560 de 25/10/1968,SC,MATA ATLÂNTICA,MATA ATLÂNTICA,706.539943354
FLORESTA NACIONAL DE CANELA,Uso Sustentável,GR5,0000.00.0087,Portaria 561 de 25/10/1968,RS,MATA ATLÂNTICA,MATA ATLÂNTICA,563.520841884
FLORESTA NACIONAL DE CAPÃO BONITO,Uso Sustentável,GR4,0000.00.0079,Portaria 558 de 25/10/1968,SP,CERRADO,MATA ATLÂNTICA e CERRADO,4316.90063583
FLORESTA NACIONAL DE CARAJÁS,Uso Sustentável,GR1,0000.00.0088,"DEC 2.486, de 02/02/1998",PA,AMAZÔNIA,AMAZÔNIA,391263.037756
FLORESTA NACIONAL DE CAXIUANÃ,Uso Sustentável,GR1,0000.00.0089,DEC 236 de 28/11/1961,PA,AMAZÔNIA,AMAZÔNIA,317950.656689
FLORESTA NACIONAL DE CHAPECÓ,Uso Sustentável,GR5,0000.00.0080,Portaria 560 de 25/10/1968,SC,MATA ATLÂNTICA,MATA ATLÂNTICA,1604.36103116
FLORESTA NACIONAL DE CRISTÓPOLIS,Uso Sustentável,GR2,0000.00.0090,DEC S/N de 18/05/2001,BA,CERRADO,CERRADO,12840.6921155
FLORESTA NACIONAL DE GOYTACAZES,Uso Sustentável,GR4,0000.00.0091,DEC S/N de 05/06/2012,ES,MATA ATLÂNTICA,MATA ATLÂNTICA,1425.65276314
FLORESTA NACIONAL DE HUMAITÁ,Uso Sustentável,GR1,0000.00.0092,"DEC 2.485, de 02/02/1998",AM,AMAZÔNIA,AMAZÔNIA,476589.499743
FLORESTA NACIONAL DE IBIRAMA,Uso Sustentável,GR5,0000.00.0093,"DEC 95.818, de 11/03/1988",SC,MATA ATLÂNTICA,MATA ATLÂNTICA,519.349925891
FLORESTA NACIONAL DE IPANEMA,Uso Sustentável,GR4,0000.00.0094,"DEC 530, de 20/05/1992",SP,MATA ATLÂNTICA,MATA ATLÂNTICA,5384.82538572
FLORESTA NACIONAL DE IRATI,Uso Sustentável,GR5,0000.00.0125,Portaria 559 de 25/10/1968,PR,MATA ATLÂNTICA,MATA ATLÂNTICA,3802.51282847
FLORESTA NACIONAL DE ITAITUBA I,Uso Sustentável,GR1,0000.00.0095,"DEC  2.481, de 02/02/1998; LEI 12.678, de 25/06/2012",PA,AMAZÔNIA,AMAZÔNIA,213104.944321
FLORESTA NACIONAL DE ITAITUBA II,Uso Sustentável,GR1,0000.00.0096,"DEC  2.482, de 02/02/1998; LEI 12.678, de 25/06/2012",PA,AMAZÔNIA,AMAZÔNIA,397760.258195
FLORESTA NACIONAL DE JACUNDÁ,Uso Sustentável,GR1,0000.00.0097,DEC S/N de 01/12/2004,RO,AMAZÔNIA,AMAZÔNIA,220809.207549
FLORESTA NACIONAL DE LORENA,Uso Sustentável,GR4,0000.00.0098,Portaria 246 de 18/07/2001,SP,MATA ATLÂNTICA,MATA ATLÂNTICA,281.408983442
FLORESTA NACIONAL DE MULATA,Uso Sustentável,GR1,0000.00.0099,DEC S/N de 01/08/2001,PA,AMAZÔNIA,AMAZÔNIA,215797.76065
FLORESTA NACIONAL DE NEGREIROS,Uso Sustentável,GR2,0000.00.1605,DEC S/N de 11/10/2007,PE,CAATINGA,CAATINGA,2967.44051253
FLORESTA NACIONAL DE NÍSIA FLORESTA,Uso Sustentável,GR2,0000.00.0100,DEC S/N de 27/09/2001,RN,MATA ATLÂNTICA,MATA ATLÂNTICA,168.843291864
FLORESTA NACIONAL DE PACOTUBA,Uso Sustentável,GR4,0000.00.0101,DEC S/N de 13/12/2002,ES,MATA ATLÂNTICA,MATA ATLÂNTICA,449.409623003
FLORESTA NACIONAL DE PALMARES,Uso Sustentável,GR2,0000.00.0102,DEC S/N de 21/02/2005,PI,CERRADO,CERRADO,168.210681973
FLORESTA NACIONAL DE PARAOPEBA,Uso Sustentável,GR4,0000.00.0103,Portaria 248 de 18/07/2001,MG,CERRADO,CERRADO,203.29196887
FLORESTA NACIONAL DE PASSA QUATRO,Uso Sustentável,GR4,0000.00.0129,Portaria 562 de 25/10/1968,MG,MATA ATLÂNTICA,MATA ATLÂNTICA,335.373106695
FLORESTA NACIONAL DE PASSO FUNDO,Uso Sustentável,GR5,0000.00.0130,Portaria 561 de 25/10/1968,RS,MATA ATLÂNTICA,MATA ATLÂNTICA,1333.63137445
FLORESTA NACIONAL DE PAU-ROSA,Uso Sustentável,GR1,0000.00.0104,DEC S/N de 07/08/2001.,AM,AMAZÔNIA,AMAZÔNIA,988186.718047
FLORESTA NACIONAL DE PIRAÍ DO SUL,Uso Sustentável,GR5,0000.00.0131,DEC S/N de 02/06/2004,PR,MATA ATLÂNTICA,MATA ATLÂNTICA,150.61440304
FLORESTA NACIONAL DE RITÁPOLIS,Uso Sustentável,GR4,0000.00.0105,DEC S/N de 21/09/1999,MG,MATA ATLÂNTICA,MATA ATLÂNTICA,89.1900950887
FLORESTA NACIONAL DE RORAIMA,Uso Sustentável,GR1,0000.00.0106,"DEC 97.545, de 01/03/1989; LEI 12.058, de 13/12/2009.",AM/RR,AMAZÔNIA,AMAZÔNIA,169628.701657
FLORESTA NACIONAL DE SANTA ROSA DO PURUS,Uso Sustentável,GR1,0000.00.0107,DEC S/N de 07/08/2001,AC,AMAZÔNIA,AMAZÔNIA,231556.880725
FLORESTA NACIONAL DE SÃO FRANCISCO,Uso Sustentável,GR1,0000.00.0108,DEC S/N de 07/08/2001,AC,AMAZÔNIA,AMAZÔNIA,21147.8044347
FLORESTA NACIONAL DE SÃO FRANCISCO DE PAULA,Uso Sustentável,GR5,0000.00.0133,Portaria 561 de 25/10/1968,RS,MATA ATLÂNTICA,MATA ATLÂNTICA,1561.14068334
FLORESTA NACIONAL DE SARACÁ-TAQUERA,Uso Sustentável,GR1,0000.00.0109,"DEC  98.704, de 27/12/1989",PA,AMAZÔNIA,AMAZÔNIA,441287.986836
FLORESTA NACIONAL DE SILVÂNIA,Uso Sustentável,GR3,0000.00.0110,Portaria 247 de 18/07/2001,GO,CERRADO,CERRADO,486.607813471
FLORESTA NACIONAL DE SOBRAL,Uso Sustentável,GR2,0000.00.0111,"Portaria 358, de 27/09/2001",CE,CAATINGA,CAATINGA,661.023364186
FLORESTA NACIONAL DE TEFÉ,Uso Sustentável,GR1,0000.00.0112,"DEC  97.629, de 10/04/1989",AM,AMAZÔNIA,AMAZÔNIA,865126.615368
FLORESTA NACIONAL DE TRÊS BARRAS,Uso Sustentável,GR5,0000.00.0134,Portaria 560 de 25/12/1968,SC,MATA ATLÂNTICA,MATA ATLÂNTICA,4385.35953155
FLORESTA NACIONAL DE URUPADI,Uso Sustentável,GR1,0000.00.3408,DEC S/N de 11/05/2016,AM,AMAZÔNIA,AMAZÔNIA,538081.090984
FLORESTA NACIONAL DO AMANA,Uso Sustentável,GR1,0000.00.0271,DEC S/N de 13/02/2006; DEC S/N de 11/05/2016,PA/AM,AMAZÔNIA,AMAZÔNIA,682561.01572
FLORESTA NACIONAL DO AMAPÁ,Uso Sustentável,GR1,0000.00.0113,"DEC  97.630, de 10/04/1989",AP,AMAZÔNIA,AMAZÔNIA,460359.14316
