"type"|"right"|"occurrenceID_GBIF"|"rightsHolder"|"modified"|"institutionCode"|"collectionCode"|"catalogNumber"|"recordNumber"|"recordedBy"|"eventDate"|"year"|"month"|"day"|"occurrenceRemarks"|"fieldNotes"|"country"|"stateProvince"|"municipality"|"locality"|"minimumElevationInMeters"|"maximumElevationInMeters"|"verbatimLatitude"|"verbatimLongitude"|"decimalLatitude"|"decimalLongitude"|"identifiedBy"|"dateIdentified"|"identificationRemarks"|"identificationQualifier"|"typeStatus"|"scientifcname"|"family"|"genus"|"specificEpithet"|"infraspecificEpithet"|"taxonRank"|"scientificNameAuthorship"|"Clado"|"fieldnumber"|"kingdom"|"phylum"|"otherCatalogNumbers"
"Collection"|"Creative Commons"|"urn:catalog:UNIP:7897"|"UNIP"|"2017-12-27"|"UNIP"|"UNIP"|"UNIP07897"|"991"|"Shirasuna, R.T."|"2008-2-20"|"2008"|"2"|"20"|"Árvore, ca. 4m alt.; flores esbranquiçadas"|""|"Brasil"|"São Paulo"|"Itapecerica da Serra"|"Rodoanel, trecho sul, lote 5."|""|""|""|""|""|""|"Rossi, L."|"10/2/2011"|""|""|""|"Mimosa bimucronata"|"FABACEAE"|"Mimosa"|"bimucronata"|""|"specie"|""|"Angiospermas"|""|"Plantae"|""|"UNIP 7897"
"Collection"|"Creative Commons"|"urn:catalog:UNIP:7898"|"UNIP"|"2017-12-27"|"UNIP"|"UNIP"|"UNIP07898"|"994"|"Shirasuna, R.T."|"2008-2-20"|"2008"|"2"|"20"|"Erva rasteira; flores lilás"|""|"Brasil"|"São Paulo"|"Itapecerica da Serra"|"Rodoanel, trecho sul, lote 5."|""|""|""|""|""|""|"Rossi, L."|"10/2/2011"|""|""|""|"Mimosa diplotricha C.Wright ex Sauvalle"|"FABACEAE"|"Mimosa"|"diplotricha"|""|"specie"|"C.Wright ex Sauvalle"|"Angiospermas"|""|"Plantae"|""|"UNIP 7898"
"Collection"|"Creative Commons"|"urn:catalog:UNIP:7899"|"UNIP"|"2017-12-27"|"UNIP"|"UNIP"|"UNIP07899"|"2490"|"Shirasuna, R.T."|"2009-8-11"|"2009"|"8"|"11"|"Arbusto, ca. 1,8m alt.; flor"|""|"Brasil"|"São Paulo"|"São Bernardo do Campo"|"Rodoanel, trecho sul, lote 3. Mata do Bin Laden."|"729"|"729"|""|""|"-23.7688889"|"-46.6047222"|"Rossi, L."|"10/2/2011"|""|""|""|"Mimosa pellita Humb. & Bonpl. ex Willd."|"FABACEAE"|"Mimosa"|"pellita"|""|"specie"|"Humb. & Bonpl. ex Willd."|"Angiospermas"|""|"Plantae"|""|"UNIP 7899"
"Collection"|"Creative Commons"|"urn:catalog:UNIP:7900"|"UNIP"|"2017-12-27"|"UNIP"|"UNIP"|"UNIP07900"|"1621"|"Simão-Bianchini, R."|"2007-8-26"|"2007"|"8"|"26"|"Árvore, 6m alt.; filetes amarelos."|""|"Brasil"|"São Paulo"|"São Paulo"|"Rodoanel, trecho sul, lote 4. Divisa com lote 3, perto da represa."|""|""|""|""|""|""|"Rossi, L."|"8/2008"|""|""|""|"Mimosa scabrella Benth."|"FABACEAE"|"Mimosa"|"scabrella"|""|"specie"|"Benth."|"Angiospermas"|""|"Plantae"|""|"UNIP 7900"
"Collection"|"Creative Commons"|"urn:catalog:UNIP:7901"|"UNIP"|"2017-12-27"|"UNIP"|"UNIP"|"UNIP07901"|"823"|"Shirasuna, R.T."|"2007-12-17"|"2007"|"12"|"17"|"Arbusto, ca. 2m alt.; inflorescência vermelha"|""|"Brasil"|"São Paulo"|"Embu"|"Rodoanel, trecho sul, lote 5."|""|""|""|""|""|""|"Rossi, L."|"2/2011"|""|""|""|"Sesbania punicea (Cav.) Benth."|"FABACEAE"|"Sesbania"|"punicea"|""|"specie"|"(Cav.) Benth."|"Angiospermas"|""|"Plantae"|""|"UNIP 7901"
"Collection"|"Creative Commons"|"urn:catalog:UNIP:7902"|"UNIP"|"2017-12-27"|"UNIP"|"UNIP"|"UNIP07902"|"1567"|"Shirasuna, R.T."|"2008-7-21"|"2008"|"7"|"21"|"Erva rizomatosa; flores brancas"|""|"Brasil"|"São Paulo"|"Itapecerica da Serra"|"Rodoanel, trecho sul, lote 5."|""|""|""|""|""|""|"Rossi, L."|"12/2010"|""|""|""|"Trifolium repens L."|"FABACEAE"|"Trifolium"|"repens"|""|"specie"|"L."|"Angiospermas"|""|"Plantae"|""|"UNIP 7902"
"Collection"|"Creative Commons"|"urn:catalog:UNIP:7978"|"UNIP"|"2017-12-27"|"UNIP"|"UNIP"|"UNIP07978"|"s.n."|"Peña, R.P.S."|"2007-1-29"|"2007"|"1"|"29"|"árvore; frutos"|""|"Brasil"|"São Paulo"|"São Paulo"|"Parque Ibirapuera. Portão 9."|""|""|""|""|""|""|"Garcia, R.J.F."|""|""|""|""|"Inga laurina"|"FABACEAE"|"Inga"|"laurina"|""|"specie"|""|"Angiospermas"|""|"Plantae"|""|"UNIP 7978"
"Collection"|"Creative Commons"|"urn:catalog:UNIP:7983"|"UNIP"|"2017-12-27"|"UNIP"|"UNIP"|"UNIP07983"|"622"|"Honda, S."|"2008-5-6"|"2008"|"5"|"6"|"liana (arbusto escandente); frutos verdes"|""|"Brasil"|"São Paulo"|"São Paulo"|"Parelheiros. Sítio Roda d´água."|""|""|""|""|""|""|"Honda, S."|"6/5/2008"|""|""|""|"Piptadenia adiantoides (Spreng.) J.F.Macbr."|"FABACEAE"|"Piptadenia"|"adiantoides"|""|"specie"|"(Spreng.) J.F.Macbr."|"Angiospermas"|""|"Plantae"|""|"UNIP 7983"
"Collection"|"Creative Commons"|"urn:catalog:UNIP:8000"|"UNIP"|"2017-12-27"|"UNIP"|"UNIP"|"UNIP08000"|"s.n."|"Braga, M."|"2014-2-5"|"2014"|"2"|"5"|"árvore exótica (cultivada), flores amarelas"|""|"Brasil"|"São Paulo"|"São Paulo"|"Bairro Vila Madalena. Rua João Moura."|""|""|""|""|""|""|"Barreto, E.H.P."|"2/2014"|""|""|""|"Cassia fistula L."|"FABACEAE"|"Cassia"|"fistula"|""|"specie"|"L."|"Angiospermas"|""|"Plantae"|""|"UNIP 8000"
"Collection"|"Creative Commons"|"urn:catalog:UNIP:8013"|"UNIP"|"2017-12-27"|"UNIP"|"UNIP"|"UNIP08013"|"625"|"Pereira, F.G."|"2012-9-18"|"2012"|"9"|"18"|"Arvoreta, 2m alt.; frutos verde-amarelados"|""|"Brasil"|"São Paulo"|"São Paulo"|"Parque Natural Municipal Cratera de Colônia."|""|""|""|""|""|""|"Honda, S."|"2/5/2013"|""|""|""|"Inga barbata Benth."|"FABACEAE"|"Inga"|"barbata"|""|"specie"|"Benth."|"Angiospermas"|""|"Plantae"|""|"UNIP 8013"
